country,gov_dem_2011,gov_cli_2022,gov_pri_2022,gov_cpi_2017,gov_dem_2011_n,gov_cli_2022_n,gov_pri_2022_n,gov_cpi_2017_n,gov_s
Kuwait,-7.0,5.0,5.0,39.0,15.0,33.333336,33.333336,37.5,29.791667938232422
Lao,-7.0,6.0,7.0,29.0,15.0,16.666664,0.0,25.0,14.166666030883789
Lebanon,7.0,4.0,5.0,28.0,85.0,50.0,33.333336,23.75,48.02083396911621
Liberia,6.0,4.0,3.0,31.0,80.0,50.0,66.66667,27.5,56.04166793823242
Libya,0.0,6.0,7.0,17.0,50.0,16.666664,0.0,10.0,19.16666603088379
Sri Lanka,4.0,4.0,4.0,38.0,70.0,50.0,50.0,36.25,51.5625
Lesotho,8.0,3.0,2.0,42.0,90.0,66.66667,83.333336,41.25,70.31250190734863
Lithuania,10.0,2.0,1.0,59.0,100.0,83.333336,100.0,62.5,86.45833396911621
Latvia,8.0,2.0,1.0,58.0,90.0,83.333336,100.0,61.25,83.64583396911621
Morocco,-4.0,5.0,5.0,40.0,30.0,33.333336,33.333336,38.75,33.85416793823242
Moldova,8.0,3.0,3.0,31.0,90.0,66.66667,66.66667,27.5,62.708335876464844
Madagascar,0.0,4.0,3.0,24.0,50.0,50.0,66.66667,18.75,46.35416793823242
Mexico,8.0,4.0,3.0,29.0,90.0,50.0,66.66667,25.0,57.91666793823242
North Macedonia,9.0,3.0,3.0,35.0,95.0,66.66667,66.66667,32.5,65.20833587646484
Mali,7.0,5.0,6.0,31.0,85.0,33.333336,16.666664,27.5,40.625
Myanmar,-3.0,6.0,7.0,30.0,35.0,16.666664,0.0,26.25,19.47916603088379
Montenegro,9.0,3.0,3.0,46.0,95.0,66.66667,66.66667,46.25,68.64583587646484
Mongolia,10.0,2.0,1.0,36.0,100.0,83.333336,100.0,33.75,79.27083396911621
Mozambique,5.0,4.0,5.0,25.0,75.0,50.0,33.333336,20.0,44.58333396911621
Mauritania,-2.0,5.0,5.0,28.0,40.0,33.333336,33.333336,23.75,32.60416793823242
Mauritius,10.0,2.0,2.0,50.0,100.0,83.333336,83.333336,51.25,79.47916793823242
Malawi,6.0,3.0,3.0,31.0,80.0,66.66667,66.66667,27.5,60.208335876464844
Malaysia,6.0,4.0,4.0,47.0,80.0,50.0,50.0,47.5,56.875
Namibia,6.0,2.0,2.0,51.0,80.0,83.333336,83.333336,52.5,74.79166793823242
Niger,6.0,4.0,4.0,33.0,80.0,50.0,50.0,30.0,52.5
Nigeria,4.0,5.0,4.0,27.0,70.0,33.333336,50.0,22.5,43.95833396911621
Nicaragua,9.0,6.0,7.0,26.0,95.0,16.666664,0.0,21.25,33.22916603088379
Netherlands,10.0,1.0,1.0,82.0,100.0,100.0,100.0,91.25,97.8125
Norway,10.0,1.0,1.0,85.0,100.0,100.0,100.0,95.0,98.75
Nepal,6.0,4.0,3.0,31.0,80.0,50.0,66.66667,27.5,56.04166793823242
New Zealand,10.0,1.0,1.0,89.0,100.0,100.0,100.0,100.0,100.0
Oman,-8.0,5.0,6.0,44.0,10.0,33.333336,16.666664,43.75,25.9375
Pakistan,6.0,5.0,5.0,32.0,80.0,33.333336,33.333336,28.75,43.85416793823242
Panama,9.0,2.0,2.0,37.0,95.0,83.333336,83.333336,35.0,74.16666793823242
Peru,9.0,3.0,3.0,37.0,95.0,66.66667,66.66667,35.0,65.83333587646484
Philippines,8.0,4.0,3.0,34.0,90.0,50.0,66.66667,31.25,59.47916793823242
Papua New Guinea,4.0,3.0,4.0,29.0,70.0,66.66667,50.0,25.0,52.91666793823242
Poland,10.0,2.0,2.0,60.0,100.0,83.333336,83.333336,63.75,82.60416793823242
North Korea,-10.0,7.0,7.0,17.0,0.0,0.0,0.0,10.0,2.5
Portugal,10.0,1.0,1.0,63.0,100.0,100.0,100.0,67.5,91.875
Paraguay,8.0,3.0,3.0,29.0,90.0,66.66667,66.66667,25.0,62.083335876464844
Qatar,-10.0,5.0,6.0,63.0,0.0,33.333336,16.666664,67.5,29.375
Romania,9.0,2.0,2.0,48.0,95.0,83.333336,83.333336,48.75,77.60416793823242
Russia,4.0,6.0,7.0,29.0,70.0,16.666664,0.0,25.0,27.91666603088379
Rwanda,-4.0,6.0,6.0,55.0,30.0,16.666664,16.666664,57.5,30.208332061767578
Saudi Arabia,-10.0,7.0,7.0,49.0,0.0,0.0,0.0,50.0,12.5
Sudan,-2.0,6.0,7.0,16.0,40.0,16.666664,0.0,8.75,16.35416603088379
Senegal,7.0,3.0,3.0,45.0,85.0,66.66667,66.66667,45.0,65.83333587646484
Singapore,-2.0,4.0,4.0,84.0,40.0,50.0,50.0,93.75,58.4375
Solomon Islands,8.0,2.0,3.0,39.0,90.0,83.333336,66.66667,37.5,69.37500190734863
Sierra Leone,7.0,3.0,3.0,30.0,85.0,66.66667,66.66667,26.25,61.145835876464844
El Salvador,8.0,4.0,3.0,33.0,90.0,50.0,66.66667,30.0,59.16666793823242
Somalia,0.0,7.0,7.0,9.0,50.0,0.0,0.0,0.0,12.5
Serbia,8.0,3.0,4.0,41.0,90.0,66.66667,50.0,40.0,61.66666793823242
South Sudan,0.0,7.0,7.0,12.0,50.0,0.0,0.0,3.75,13.4375
Suriname,5.0,2.0,2.0,41.0,75.0,83.333336,83.333336,40.0,70.41666793823242
Slovak Republic,10.0,1.0,1.0,50.0,100.0,100.0,100.0,51.25,87.8125
Slovenia,10.0,1.0,1.0,61.0,100.0,100.0,100.0,65.0,91.25
Sweden,10.0,1.0,1.0,84.0,100.0,100.0,100.0,93.75,98.4375
Eswatini,-9.0,6.0,7.0,39.0,5.0,16.666664,0.0,37.5,14.791666030883789
Syria,-7.0,7.0,7.0,14.0,15.0,0.0,0.0,6.25,5.3125
Chad,-2.0,6.0,7.0,20.0,40.0,16.666664,0.0,13.75,17.60416603088379
Togo,-2.0,4.0,5.0,32.0,40.0,50.0,33.333336,28.75,38.02083396911621
Thailand,7.0,5.0,6.0,37.0,85.0,33.333336,16.666664,35.0,42.5
Tajikistan,-3.0,7.0,7.0,21.0,35.0,0.0,0.0,15.0,12.5
