country,com_fixed_2020,com_cell_2020,com_broad_2020,com_pcs_2005,com_fixed_2020_n,com_cell_2020_n,com_broad_2020_n,com_pcs_2005_n,com_s
Guinea,,104.0,0.00757,0.48,,21.453990849008644,0.013398230088495576,0.5187189896256201,5.496527017180689
Gambia,2.33,104.0,0.194,1.65,1.9745762711864407,21.453990849008644,0.3433628318584071,1.8380694632386105,6.402499853823025
Guinea-Bissau,,94.9,0.118,0.19,,19.14082358922217,0.20884955752212386,0.19170049616599005,4.885343410727571
Equatorial Guinea,0.705,46.6,0.115,1.79,0.597457627118644,6.863243518047789,0.20353982300884957,1.9959404600811907,2.4150453570641184
Greece,46.2,109.0,40.5,9.17,39.152542372881356,22.724961870869347,71.68141592920354,10.317997293640053,35.96922936664857
Grenada,15.6,96.0,25.8,,13.220338983050848,19.420437214031523,45.663716814159294,,19.57612325281042
Greenland,11.3,118.0,27.9,,9.576271186440678,25.01270971021861,49.38053097345133,,20.992377967527652
Guatemala,13.1,117.0,3.52,2.08,11.101694915254237,24.758515505846468,6.230088495575221,2.322958953540821,11.103314467554187
Guyana,15.7,107.0,11.9,3.86,13.305084745762711,22.216573462125066,21.061946902654867,4.330175913396482,15.22844525598478
"Hong Kong, China",52.0,291.0,38.5,59.3,44.067796610169495,68.98830706659888,68.14159292035399,66.84709066305817,62.01119681504513
Honduras,5.25,68.8,3.92,1.43,4.4491525423728815,12.506354855109304,6.938053097345133,1.5899864682002705,6.370886740756897
Croatia,31.7,107.0,25.2,,26.864406779661017,22.216573462125066,44.60176991150443,,23.420687538322625
Haiti,0.0531,64.7,0.274,0.19,0.045000000000000005,11.464158617183529,0.4849557522123894,0.19170049616599005,3.0464537163904772
Hungary,30.5,106.0,33.5,14.4,25.847457627118644,21.962379257752925,59.29203539823009,16.215606675687866,30.829369739697384
Indonesia,3.55,131.0,4.31,1.47,3.0084745762711864,28.317234367056432,7.628318584070795,1.6350924672981506,10.147279998674142
India,1.44,82.6,1.64,1.54,1.2203389830508475,16.01423487544484,2.9026548672566372,1.7140279657194406,5.462814172867941
Ireland,33.9,106.0,30.7,53.0,28.728813559322035,21.962379257752925,54.336283185840706,59.742895805142076,41.19259295201444
Iran,33.3,146.0,11.0,,28.220338983050844,32.13014743263854,19.469026548672566,,19.954878241090487
Iraq,6.34,88.1,14.7,,5.372881355932203,17.41230299949161,26.01769911504425,,12.200720867617015
Iceland,29.2,115.0,38.7,48.2,24.74576271186441,24.250127097102187,68.49557522123895,54.33017591339648,42.95541023590051
Israel,38.5,140.0,29.7,,32.6271186440678,30.604982206405694,52.56637168141593,,28.949618132972354
Italy,33.0,130.0,30.5,37.0,27.966101694915253,28.063040162684292,53.982300884955755,41.70049616599007,37.92798472713634
Jamaica,15.5,102.0,13.7,6.75,13.135593220338983,20.945602440264363,24.24778761061947,7.589084348218313,16.47951690486028
Jordan,3.58,63.9,5.77,6.23,3.0338983050847457,11.260803253685816,10.212389380530974,7.002706359945874,7.8774493248118524
Japan,49.5,156.0,35.1,,41.94915254237288,34.67208947635994,62.123893805309734,,34.68628395601064
Kenya,0.128,118.0,1.3,1.44,0.10847457627118645,25.01270971021861,2.3008849557522124,1.6012629679747405,7.255833052554187
Kyrgyz Republic,4.65,132.0,4.5,1.9,3.9406779661016955,28.571428571428573,7.964601769911504,2.119981957600361,10.649172566260534
Cambodia,0.339,129.0,1.43,0.31,0.28728813559322036,27.80884595831215,2.5309734513274336,0.3270184934596301,7.738531509673108
Kiribati,0.0261,43.2,0.146,,0.022118644067796612,5.9989832231825115,0.25840707964601767,,1.5698772367240814
St. Kitts and Nevis,33.7,131.0,45.2,,28.559322033898308,28.317234367056432,80.0,,34.219139100238685
South Korea,46.0,136.0,43.1,53.7,38.983050847457626,29.588205388917135,76.28318584070796,60.53225078935498,51.346673216609425
Kuwait,13.4,155.0,1.7,22.3,11.35593220338983,34.4178952719878,3.0088495575221237,25.12404149751917,18.476679632604732
Lao,18.6,63.3,1.68,1.69,15.762711864406782,11.108286731062533,2.9734513274336285,1.8831754623364907,7.93190634630986
Lebanon,15.5,75.7,7.63,11.4,13.135593220338983,14.260294865277073,13.504424778761061,12.832656743346865,13.433242401930997
Libya,23.7,175.0,4.99,2.22,20.084745762711865,39.50177935943061,8.831858407079647,2.4808299503834013,17.72480336990138
St. Lucia,8.34,81.4,19.9,,7.067796610169491,15.709201830198273,35.22123893805309,,14.499559344605213
Sri Lanka,12.0,137.0,8.2,3.54,10.169491525423728,29.842399593289276,14.513274336283184,3.9693279206134413,14.623623343902405
Lesotho,0.513,69.3,0.224,0.28,0.43474576271186444,12.633451957295375,0.3964601769911505,0.29318899413622007,3.439461722783652
Lithuania,11.4,130.0,28.3,17.9,9.661016949152541,28.063040162684292,50.08849557522124,20.162381596752365,26.99373357095261
Luxembourg,42.5,133.0,37.3,62.4,36.016949152542374,28.825622775800714,66.01769911504424,70.34280559314388,50.300769159132805
Latvia,11.2,108.0,25.9,24.5,9.491525423728813,22.470767666497206,45.84070796460177,27.604871447902568,26.35196812568259
"Macao, China",16.3,413.0,30.8,34.8,13.813559322033898,100.0,54.51327433628319,39.219666215606665,51.88662496848093
Morocco,6.39,134.0,5.7,2.37,5.415254237288136,29.079816980172854,10.08849557522124,2.6499774470004507,11.80838605992067
Monaco,118.0,96.1,56.5,42.5,100.0,19.445856634468736,100.0,47.902571041948576,66.83710691910433
Moldova,33.3,111.0,23.3,8.27,28.220338983050844,23.233350279613624,41.23893805309734,9.303112313937753,25.49893490742489
Madagascar,0.176,56.2,0.113,0.55,0.14915254237288134,9.303507880020335,0.2,0.5976544880469102,2.5625787276100316
Maldives,2.82,140.0,12.4,13.7,2.389830508474576,30.604982206405694,21.946902654867255,15.426251691474965,17.59199176530562
Mexico,19.4,97.5,17.9,13.1,16.440677966101692,19.801728520589734,31.681415929203535,14.749661705006766,20.66837103022543
Marshall Islands,,36.9,2.3,,,4.397559735638027,4.07079646017699,,2.1170890489537544
North Macedonia,19.7,88.2,22.5,22.2,16.694915254237287,17.437722419928825,39.823008849557525,25.011276499774468,24.741730755874524
Mali,1.33,119.0,1.15,0.44,1.1271186440677967,25.26690391459075,2.035398230088495,0.47361299052774014,7.225758444818696
Malta,50.0,123.0,41.3,,42.3728813559322,26.28368073207931,73.09734513274336,,35.438476805188714
Myanmar,0.981,147.0,1.29,0.79,0.8313559322033898,32.38434163701068,2.2831858407079646,0.8682904826341903,9.091793473139054
Mongolia,9.99,132.0,9.34,12.8,8.466101694915254,28.571428571428573,16.530973451327434,14.411366711772665,16.994967607360984
Mozambique,0.286,49.6,0.225,1.43,0.24237288135593218,7.62582613116421,0.39823008849557523,1.5899864682002705,2.464103892303997
Mauritania,1.38,129.0,0.41,2.56,1.1694915254237288,27.80884595831215,0.7256637168141593,2.864230942715381,8.142058035816357
Mauritius,36.9,147.0,24.9,16.9,31.271186440677965,32.38434163701068,44.07079646017699,19.034731619305365,31.69026403929275
Malawi,0.0643,51.6,0.0632,0.19,0.05449152542372881,8.134214539908491,0.11185840707964602,0.19170049616599005,2.123066242144464
Malaysia,22.5,132.0,10.1,22.1,19.06779661016949,28.571428571428573,17.876106194690266,24.89851150202977,22.603460719579523
Namibia,5.64,116.0,3.16,12.3,4.779661016949152,24.504321301474327,5.592920353982301,13.847541723049165,12.181111098863735
New Caledonia,16.1,90.8,19.2,16.9,13.644067796610171,18.09862735129639,33.982300884955755,19.034731619305365,21.18993191304192
Niger,0.238,58.5,0.0493,0.07,0.20169491525423727,9.888154550076258,0.08725663716814158,0.056382498872350015,2.558372150342747
Nigeria,0.0514,98.0,0.0314,0.91,0.04355932203389831,19.928825622775804,0.055575221238938044,1.0036084799278304,5.257892161494118
Nicaragua,3.32,88.3,4.3,4.01,2.8135593220338984,17.46314184036604,7.610619469026549,4.499323410013531,8.096661010360005
