country,gov_dem_2011,gov_cli_2022,gov_pri_2022,gov_cpi_2017,gov_dem_2011_n,gov_cli_2022_n,gov_pri_2022_n,gov_cpi_2017_n
Nigeria,4.0,5.0,4.0,27.0,70.0,33.333336,50.0,22.5
Nicaragua,9.0,6.0,7.0,26.0,95.0,16.666664,0.0,21.25
Netherlands,10.0,1.0,1.0,82.0,100.0,100.0,100.0,91.25
Norway,10.0,1.0,1.0,85.0,100.0,100.0,100.0,95.0
Nepal,6.0,4.0,3.0,31.0,80.0,50.0,66.66667,27.5
New Zealand,10.0,1.0,1.0,89.0,100.0,100.0,100.0,100.0
Oman,-8.0,5.0,6.0,44.0,10.0,33.333336,16.666664,43.75
Pakistan,6.0,5.0,5.0,32.0,80.0,33.333336,33.333336,28.75
Panama,9.0,2.0,2.0,37.0,95.0,83.333336,83.333336,35.0
Peru,9.0,3.0,3.0,37.0,95.0,66.66667,66.66667,35.0
Philippines,8.0,4.0,3.0,34.0,90.0,50.0,66.66667,31.25
Papua New Guinea,4.0,3.0,4.0,29.0,70.0,66.66667,50.0,25.0
Poland,10.0,2.0,2.0,60.0,100.0,83.333336,83.333336,63.75
North Korea,-10.0,7.0,7.0,17.0,0.0,0.0,0.0,10.0
Portugal,10.0,1.0,1.0,63.0,100.0,100.0,100.0,67.5
Paraguay,8.0,3.0,3.0,29.0,90.0,66.66667,66.66667,25.0
Qatar,-10.0,5.0,6.0,63.0,0.0,33.333336,16.666664,67.5
Romania,9.0,2.0,2.0,48.0,95.0,83.333336,83.333336,48.75
Russia,4.0,6.0,7.0,29.0,70.0,16.666664,0.0,25.0
Rwanda,-4.0,6.0,6.0,55.0,30.0,16.666664,16.666664,57.5
Saudi Arabia,-10.0,7.0,7.0,49.0,0.0,0.0,0.0,50.0
Sudan,-2.0,6.0,7.0,16.0,40.0,16.666664,0.0,8.75
Senegal,7.0,3.0,3.0,45.0,85.0,66.66667,66.66667,45.0
Singapore,-2.0,4.0,4.0,84.0,40.0,50.0,50.0,93.75
Solomon Islands,8.0,2.0,3.0,39.0,90.0,83.333336,66.66667,37.5
Sierra Leone,7.0,3.0,3.0,30.0,85.0,66.66667,66.66667,26.25
El Salvador,8.0,4.0,3.0,33.0,90.0,50.0,66.66667,30.0
Somalia,0.0,7.0,7.0,9.0,50.0,0.0,0.0,0.0
Serbia,8.0,3.0,4.0,41.0,90.0,66.66667,50.0,40.0
South Sudan,0.0,7.0,7.0,12.0,50.0,0.0,0.0,3.75
Suriname,5.0,2.0,2.0,41.0,75.0,83.333336,83.333336,40.0
Slovak Republic,10.0,1.0,1.0,50.0,100.0,100.0,100.0,51.25
Slovenia,10.0,1.0,1.0,61.0,100.0,100.0,100.0,65.0
Sweden,10.0,1.0,1.0,84.0,100.0,100.0,100.0,93.75
Eswatini,-9.0,6.0,7.0,39.0,5.0,16.666664,0.0,37.5
Syria,-7.0,7.0,7.0,14.0,15.0,0.0,0.0,6.25
Chad,-2.0,6.0,7.0,20.0,40.0,16.666664,0.0,13.75
Togo,-2.0,4.0,5.0,32.0,40.0,50.0,33.333336,28.75
Thailand,7.0,5.0,6.0,37.0,85.0,33.333336,16.666664,35.0
Tajikistan,-3.0,7.0,7.0,21.0,35.0,0.0,0.0,15.0
Turkmenistan,-9.0,7.0,7.0,19.0,5.0,0.0,0.0,12.5
Timor-Leste,7.0,3.0,2.0,38.0,85.0,66.66667,83.333336,36.25
Trinidad and Tobago,10.0,2.0,2.0,41.0,100.0,83.333336,83.333336,40.0
Tunisia,,3.0,4.0,42.0,,66.66667,50.0,41.25
Turkey,9.0,6.0,5.0,40.0,95.0,16.666664,33.333336,38.75
Taiwan,10.0,1.0,1.0,63.0,100.0,100.0,100.0,67.5
Tanzania,-1.0,5.0,5.0,36.0,45.0,33.333336,33.333336,33.75
Uganda,-1.0,5.0,6.0,26.0,45.0,33.333336,16.666664,21.25
Ukraine,6.0,4.0,4.0,30.0,80.0,50.0,50.0,26.25
Uruguay,10.0,1.0,1.0,70.0,100.0,100.0,100.0,76.25
USA,10.0,2.0,2.0,75.0,100.0,83.333336,83.333336,82.5
Uzbekistan,-9.0,6.0,7.0,22.0,5.0,16.666664,0.0,16.25
Venezuela,-3.0,6.0,7.0,18.0,35.0,16.666664,0.0,11.25
Vietnam,-7.0,6.0,7.0,35.0,15.0,16.666664,0.0,32.5
Yemen,-2.0,6.0,7.0,16.0,40.0,16.666664,0.0,8.75
South Africa,9.0,2.0,2.0,43.0,95.0,83.333336,83.333336,42.5
Zambia,7.0,4.0,4.0,37.0,85.0,50.0,50.0,35.0
Zimbabwe,1.0,5.0,6.0,22.0,55.0,33.333336,16.666664,16.25
