country,health_life_2022,health_doc_2017,health_spending_2010,health_uhc_2021,health_life_2022_n,health_doc_2017_n,health_spending_2010_n,health_uhc_2021_n,health_s
Iceland,84.5,3.87,9.4,89,97.97101449275361,46.48465812998309,46.59300184162062,96.875,71.98091861608933
Israel,82.8,3.45,7.63,85,93.04347826086955,41.41096883305146,35.727440147329645,90.625,65.20172181031266
Italy,83.6,4.03,9.53,84,95.36231884057969,48.4174921478618,47.39103744628605,89.0625,70.05833710868188
Jamaica,75.0,,4.81,74,70.43478260869564,,18.416206261510123,73.4375,40.57212221755144
Jordan,76.3,2.23,8.04,65,74.20289855072463,26.67310944672626,38.244321669736024,59.375,49.62383241679673
Japan,85.2,,9.49,83,100.0,,47.14548802946592,87.5,58.66137200736648
Kazakhstan,69.8,3.94,4.29,80,55.3623188405797,47.33027301280502,15.22406384284837,82.8125,50.18228892405827
Kenya,65.6,,4.75,53,43.188405797101424,,18.047882136279924,40.625,25.465321983345337
Kyrgyz Republic,72.7,,6.18,69,63.768115942028984,,26.826273787599746,65.625,39.054847432407186
Cambodia,69.1,,5.68,58,53.33333333333331,,23.75690607734806,48.4375,31.38193485267034
Kiribati,61.2,,11.3,48,30.434782608695652,,58.25659914057703,32.8125,30.37597043731817
St. Kitts and Nevis,72.6,,6.66,79,63.47826086956519,,29.772866789441366,81.25,43.62528191475164
South Korea,83.3,2.34,6.93,89,94.49275362318839,28.00193283401788,31.430325352977277,96.875,62.70000295254589
Kuwait,82.1,,2.63,78,91.01449275362316,,5.033763044812767,79.6875,43.93393894960899
Lao,69.8,0.441,4.47,52,55.3623188405797,5.061609084319883,16.329036218538974,39.0625,28.95386603585964
Lebanon,72.0,2.26,7.03,73,61.739130434782595,27.03551582507852,32.04419889502763,71.875,48.17346128872219
Liberia,66.1,,11.8,45,44.63768115942026,,61.32596685082872,28.125,33.52216200256225
Libya,75.6,2.16,3.88,62,72.17391304347824,25.827494563904327,12.707182320441985,54.6875,41.34902248195614
St. Lucia,72.9,0.655,8.7,77,64.34782608695653,7.646774583232664,42.29588704726825,78.125,48.10387192936436
Sri Lanka,77.9,0.911,2.94,67,78.84057971014494,10.739309011838609,6.936771025168813,62.5,39.75416493678809
Lesotho,50.7,,11.1,53,0.0,,57.028852056476346,40.625,24.41346301411909
Lithuania,74.3,4.44,7.04,75,68.40579710144927,53.37037931867601,32.10558624923265,75.0,57.22044066733948
Luxembourg,83.4,2.98,7.77,83,94.78260869565219,35.73326890553274,36.58686310620011,87.5,63.65068517684625
Latvia,76.3,3.18,6.68,75,74.20289855072463,38.14931142788113,29.895641497851432,75.0,54.311962869114296
Morocco,74.0,0.732,5.2,69,67.53623188405795,8.576950954336796,20.810313075506443,65.625,40.6371239784753
Monaco,80.4,,4.3,86,86.08695652173914,,15.285451197053403,92.1875,48.389976929698136
Moldova,71.9,4.09,11.7,71,61.44927536231885,49.14230490456631,60.71209330877837,68.75,60.013418393915885
Madagascar,64.8,,3.77,35,40.86956521739129,,12.031921424186615,12.5,16.350371660394476
Maldives,79.8,1.84,6.33,61,84.3478260869565,21.961826528146897,27.747084100675252,53.125,46.79543417894466
Mexico,76.3,2.42,,75,74.20289855072463,28.968349842957235,,75.0,44.54281209842047
Marshall Islands,65.9,,18.1,59,44.05797101449276,,100.0,50.0,48.51449275362319
North Macedonia,71.1,,7.09,74,59.13043478260867,,32.412523020257815,73.4375,41.24511445071662
Mali,61.6,0.116,4.98,41,31.59420289855072,1.135539985503745,19.459791282995702,21.875,18.516133541762542
Malta,83.1,,8.65,85,93.91304347826085,,41.98895027624309,90.625,56.63174843862598
Myanmar,70.1,0.882,1.97,52,56.23188405797099,10.388982846098092,0.9821976672805396,39.0625,26.666391142837405
Montenegro,75.7,2.62,9.11,72,72.46376811594203,31.38439236530563,44.81276856967463,70.3125,54.74335726273057
Mongolia,68.9,,5.44,65,52.753623188405804,,22.283609576427256,59.375,33.60305819120826
Mozambique,56.9,0.076,5.21,44,17.97101449275361,0.6523314810340662,20.871700429711478,26.5625,16.51438660087479
Mauritania,69.7,0.19,4.41,40,55.072463768115945,2.0294757187726504,15.960712093308775,20.3125,23.343787895049342
Mauritius,74.3,2.26,6.0,66,68.40579710144927,27.03551582507852,25.72130141190914,60.9375,45.52502858460923
Malawi,63.5,,6.59,48,37.10144927536231,,29.34315531000613,32.8125,24.81427614634211
Malaysia,75.5,1.81,4.39,76,71.88405797101449,21.599420149794636,15.837937384898705,76.5625,46.470978876426955
Namibia,60.0,0.601,6.78,63,26.956521739130427,6.994443102198598,30.50951503990178,56.25,30.177619970307703
Niger,61.7,0.022,5.16,35,31.884057971014492,0.0,20.564763658686307,12.5,16.2372054074252
Nigeria,65.2,,5.07,38,42.028985507246375,,20.012277470841003,17.1875,19.807190744521844
Nicaragua,76.0,0.975,,70,73.33333333333331,11.512442618990093,,67.1875,38.00831898808085
Netherlands,82.2,3.59,11.9,85,91.30434782608695,43.10219859869534,61.939840392879056,90.625,71.74284670441534
Norway,83.3,4.74,9.48,87,94.49275362318839,56.994443102198595,47.08410067526089,93.75,73.08032435016196
Nepal,72.0,0.892,5.25,54,61.739130434782595,10.50978497221551,21.11724984653161,42.1875,33.88841631338243
Nauru,63.9,,11.2,60,38.26086956521738,,57.64272559852669,51.5625,36.866523790936014
New Zealand,82.2,3.3,10.1,85,91.30434782608695,39.59893694129016,50.89011663597297,90.625,68.10460035083752
Oman,70.1,2.01,2.77,70,56.23188405797099,24.015462672143027,5.89318600368324,67.1875,38.33200818344932
Pakistan,65.5,0.961,2.2,45,42.89855072463767,11.343319642425705,2.3941068139963173,28.125,21.190244295264925
Panama,79.0,1.59,8.1,78,82.02898550724636,18.941773375211405,38.61264579496623,79.6875,54.817726169356
Peru,77.3,,5.08,71,77.1014492753623,,20.073664825046038,68.75,41.481278525102084
Philippines,72.2,0.669,3.61,58,62.31884057971015,7.815897559797052,11.049723756906074,48.4375,32.40549047410332
Palau,68.1,,10.3,65,50.43478260869563,,52.11786372007366,59.375,40.481911582192325
Papua New Guinea,65.1,,3.58,30,41.73913043478258,,10.865561694290975,4.6875,14.323048032268389
Poland,77.2,2.34,7.46,82,76.81159420289855,28.00193283401788,34.68385512584407,85.9375,56.35872054069012
Portugal,82.3,5.12,11.0,88,91.5942028985507,61.58492389466054,56.41497851442602,95.3125,76.22665132690932
Paraguay,73.3,,5.87,72,65.50724637681158,,24.923265807243705,70.3125,40.18575304601382
Qatar,76.8,,1.81,76,75.65217391304347,,0.0,76.5625,38.05366847826087
Romania,73.2,2.97,5.58,78,65.21739130434783,35.61246677941532,23.143032535297724,79.6875,50.91509765476522
Russia,69.2,4.08,5.08,79,53.6231884057971,49.02150277844889,20.073664825046038,81.25,50.99208900232301
Rwanda,69.4,0.135,10.5,49,54.20289855072465,1.3650640251268424,53.34561080417433,34.375,35.82214334500645
Saudi Arabia,75.1,2.41,4.29,74,70.7246376811594,28.84754771683982,15.22406384284837,73.4375,47.0584373102119
Sudan,70.2,0.263,6.32,44,56.52173913043478,2.911331239429814,27.68569674647022,26.5625,28.420316779083706
Senegal,67.9,0.07,5.66,50,49.855072463768124,0.5798502053636144,23.634131368937997,35.9375,27.501638509517434
Singapore,85.2,2.32,3.96,89,100.0,27.76032858178304,13.198281154082256,96.875,59.45840243396633
Solomon Islands,59.5,,8.55,47,25.507246376811587,,41.37507673419275,31.25,24.533080777751085
Sierra Leone,61.9,,13.1,41,32.46376811594202,,69.30632289748311,21.875,30.911272753356283
El Salvador,74.6,,6.91,78,69.27536231884055,,31.30755064456721,79.6875,45.06760324085194
San Marino,82.6,,7.13,77,92.463768115942,,32.658072437077955,78.125,50.81171013825499
Somalia,57.5,,,27,19.710144927536227,,,0.0,4.927536231884057
Serbia,73.1,,10.4,72,64.92753623188403,,52.73173726212399,70.3125,46.99294337350201
Sao Tome and Principe,71.2,,7.17,59,59.42028985507246,,32.903621853898095,50.0,35.58097792724264
Suriname,70.7,1.15,7.01,63,57.971014492753625,13.626479826044935,31.921424186617543,56.25,39.94222962635403
Slovak Republic,75.2,3.42,8.79,82,71.01449275362319,41.0485624546992,42.848373235113556,85.9375,60.21223211085899
Slovenia,81.9,3.05,9.41,84,90.43478260869567,36.57888378835467,46.65438919582565,89.0625,65.682638898219
Sweden,83.3,4.27,9.63,85,94.49275362318839,51.316743174679864,48.0049109883364,90.625,71.10985194655117
Eswatini,54.2,0.181,6.61,56,10.144927536231885,1.9207538052669726,29.465930018416206,45.3125,21.711027839978765
Seychelles,71.2,,3.4,75,59.42028985507246,,9.760589318600367,75.0,36.045219793418205
Syria,74.4,,3.41,64,68.69565217391306,,9.8219766728054,57.8125,34.08253221167962
Chad,60.1,0.043,4.53,29,27.2463768115942,0.25368446484658125,16.69736034376918,3.125,11.830605405052491
Togo,65.8,0.074,7.65,44,43.76811594202897,0.6281710558105823,35.850214855739715,26.5625,26.70225046339482
Thailand,79.1,0.788,3.88,82,82.31884057971011,9.253442860594346,12.707182320441985,85.9375,47.554241440186615
Tajikistan,70.0,,5.98,67,55.94202898550724,,25.598526703499076,62.5,36.01013892225158
Turkmenistan,71.2,,2.5,75,59.42028985507246,,4.235727440147329,75.0,34.664004323804946
Timor-Leste,71.4,0.751,9.12,52,60.000000000000014,8.806474993959892,44.87415592387967,39.0625,38.185782729459895
Tonga,73.4,,5.07,57,65.79710144927537,,20.012277470841003,46.875,33.1710947300291
Trinidad and Tobago,75.4,3.15,5.67,75,71.59420289855073,37.78690504952887,23.695518723143028,75.0,52.01915666780566
Tunisia,75.9,1.26,6.21,67,73.04347826086958,14.955303213336553,27.010435850214854,62.5,44.37730433110524
Turkey,79.0,1.83,6.74,76,82.02898550724636,21.841024402029475,30.26396562308164,76.5625,52.67411888308937
Tuvalu,68.5,,17.5,52,51.59420289855072,,96.31675874769796,39.0625,46.743365411562166
Tanzania,67.0,,6.01,43,47.246376811594196,,25.782688766114173,25.0,24.50726639442709
Uganda,66.9,0.172,9.01,49,46.956521739130444,1.812031891761295,44.198895027624296,34.375,31.83561216462901
Ukraine,67.9,,7.72,76,49.855072463768124,,36.27992633517495,76.5625,40.674374699735765
Uruguay,78.0,4.96,8.35,82,79.13043478260869,59.65208987678182,40.14732965009207,85.9375,66.21683857737065
USA,78.0,,17.9,86,79.13043478260869,,98.77225291589932,92.1875,67.522546924627
Uzbekistan,68.8,,5.81,75,52.46376811594202,,24.5549416820135,75.0,38.00467744948888
St. Vincent and the Grenadines,69.1,,4.47,69,53.33333333333331,,16.329036218538974,65.625,33.82184238796807
Venezuela,74.0,1.66,4.91,75,67.53623188405795,19.78738825803334,19.030079803560465,75.0,45.338424986412946
Vietnam,75.0,,6.84,68,70.43478260869564,,30.877839165131974,64.0625,41.34378044345691
Vanuatu,66.0,,5.25,47,44.347826086956516,,21.11724984653161,31.25,24.17876898337203
Samoa,70.9,,6.47,55,58.550724637681164,,28.606507059545727,43.75,32.726807924306726
Yemen,66.3,,5.18,42,45.217391304347814,,20.687538367096373,23.4375,22.33560741786105
South Africa,60.5,0.788,8.94,71,28.40579710144927,9.253442860594346,43.76918354818906,68.75,37.54460587755817
Zambia,62.2,,5.89,56,33.333333333333336,,25.04604051565377,45.3125,25.92296846224678
Zimbabwe,59.1,0.179,,55,24.34782608695652,1.8965933800434887,,43.75,17.49860486675
