,country,gov_dem_2011,gov_cli_2022,gov_pri_2022,gov_cpi_2017,gov_dem_2011_n,gov_cli_2022_n,gov_pri_2022_n,gov_cpi_2017_n,gov_s
123,Romania,9.0,2,2,48.0,95.0,83.33333333333333,83.33333333333333,48.75,77.60416666666666
124,Russia,4.0,6,7,29.0,70.0,16.66666666666667,0.0,25.0,27.916666666666668
125,Rwanda,-4.0,6,6,55.0,30.0,16.66666666666667,16.66666666666667,57.5,30.208333333333336
126,Saudi Arabia,-10.0,7,7,49.0,0.0,0.0,0.0,50.0,12.5
127,Sudan,-2.0,6,7,16.0,40.0,16.66666666666667,0.0,8.75,16.354166666666668
128,Senegal,7.0,3,3,45.0,85.0,66.66666666666666,66.66666666666666,45.0,65.83333333333333
129,Singapore,-2.0,4,4,84.0,40.0,50.0,50.0,93.75,58.4375
130,Solomon Islands,8.0,2,3,39.0,90.0,83.33333333333333,66.66666666666666,37.5,69.375
131,Sierra Leone,7.0,3,3,30.0,85.0,66.66666666666666,66.66666666666666,26.25,61.14583333333333
132,El Salvador,8.0,4,3,33.0,90.0,50.0,66.66666666666666,30.0,59.166666666666664
133,Somalia,0.0,7,7,9.0,50.0,0.0,0.0,0.0,12.5
134,Serbia,8.0,3,4,41.0,90.0,66.66666666666666,50.0,40.0,61.666666666666664
135,South Sudan,0.0,7,7,12.0,50.0,0.0,0.0,3.75,13.4375
136,Suriname,5.0,2,2,41.0,75.0,83.33333333333333,83.33333333333333,40.0,70.41666666666666
137,Slovak Republic,10.0,1,1,50.0,100.0,100.0,100.0,51.25,87.8125
138,Slovenia,10.0,1,1,61.0,100.0,100.0,100.0,65.0,91.25
139,Sweden,10.0,1,1,84.0,100.0,100.0,100.0,93.75,98.4375
140,Eswatini,-9.0,6,7,39.0,5.0,16.66666666666667,0.0,37.5,14.791666666666668
141,Syria,-7.0,7,7,14.0,15.0,0.0,0.0,6.25,5.3125
142,Chad,-2.0,6,7,20.0,40.0,16.66666666666667,0.0,13.75,17.604166666666668
143,Togo,-2.0,4,5,32.0,40.0,50.0,33.33333333333333,28.75,38.02083333333333
144,Thailand,7.0,5,6,37.0,85.0,33.33333333333333,16.66666666666667,35.0,42.5
145,Tajikistan,-3.0,7,7,21.0,35.0,0.0,0.0,15.0,12.5
146,Turkmenistan,-9.0,7,7,19.0,5.0,0.0,0.0,12.5,4.375
147,Timor-Leste,7.0,3,2,38.0,85.0,66.66666666666666,83.33333333333333,36.25,67.8125
148,Trinidad and Tobago,10.0,2,2,41.0,100.0,83.33333333333333,83.33333333333333,40.0,76.66666666666666
149,Tunisia,,3,4,42.0,,66.66666666666666,50.0,41.25,39.479166666666664
150,Turkey,9.0,6,5,40.0,95.0,16.66666666666667,33.33333333333333,38.75,45.9375
151,Taiwan,10.0,1,1,63.0,100.0,100.0,100.0,67.5,91.875
152,Tanzania,-1.0,5,5,36.0,45.0,33.33333333333333,33.33333333333333,33.75,36.354166666666664
153,Uganda,-1.0,5,6,26.0,45.0,33.33333333333333,16.66666666666667,21.25,29.0625
154,Ukraine,6.0,4,4,30.0,80.0,50.0,50.0,26.25,51.5625
155,Uruguay,10.0,1,1,70.0,100.0,100.0,100.0,76.25,94.0625
156,USA,10.0,2,2,75.0,100.0,83.33333333333333,83.33333333333333,82.5,87.29166666666666
157,Uzbekistan,-9.0,6,7,22.0,5.0,16.66666666666667,0.0,16.25,9.479166666666668
158,Venezuela,-3.0,6,7,18.0,35.0,16.66666666666667,0.0,11.25,15.729166666666668
159,Vietnam,-7.0,6,7,35.0,15.0,16.66666666666667,0.0,32.5,16.041666666666668
160,Yemen,-2.0,6,7,16.0,40.0,16.66666666666667,0.0,8.75,16.354166666666668
161,South Africa,9.0,2,2,43.0,95.0,83.33333333333333,83.33333333333333,42.5,76.04166666666666
162,Zambia,7.0,4,4,37.0,85.0,50.0,50.0,35.0,55.0
163,Zimbabwe,1.0,5,6,22.0,55.0,33.33333333333333,16.66666666666667,16.25,30.3125
