country,infra_vehicles_2007,infra_elec_2021,infra_sanit_2016,infra_water_2016,infra_vehicles_2007_n,infra_elec_2021_n,infra_sanit_2016_n,infra_water_2016_n
Honduras,96.9,94.1,79.4,93.3,11.082304219890903,93.42984409799554,77.67179709516584,89.49843260188086
Croatia,377.0,100.0,96.1,,43.21473434246677,100.0,95.77281595491003,
Hungary,384.0,100.0,98.0,100.0,44.01775830126017,100.0,97.83221331021026,100.0
Indonesia,75.8,99.2,75.2,89.5,8.6617605726708,99.10913140311804,73.11944504660742,83.5423197492163
India,,99.6,60.8,89.8,,99.55456570155903,57.511380880121386,84.01253918495297
Ireland,537.0,100.0,89.5,96.1,61.56956768631591,100.0,88.61911987860395,93.8871473354232
Iran,15.6,100.0,88.8,96.9,1.7557545270475676,100.0,87.86039453717754,95.141065830721
Iceland,774.0,100.0,98.8,100.0,88.75766457689241,100.0,98.69932798612616,100.0
Israel,305.0,100.0,100.0,100.0,34.95505933773467,100.0,100.0,100.0
Italy,677.0,100.0,99.9,99.9,77.63004686218387,100.0,99.89161066551053,99.84326018808778
Jamaica,,100.0,86.1,90.6,,100.0,84.9338825059614,85.26645768025077
Jordan,137.0,99.9,97.5,98.9,15.682484326693091,99.88864142538976,97.29026663776284,98.27586206896552
Japan,595.0,100.0,100.0,99.0,68.22319477346122,100.0,100.0,98.43260188087774
Kazakhstan,170.0,100.0,97.8,95.2,19.46816870386197,100.0,97.6154346412313,92.47648902821317
Kenya,21.1,76.5,34.1,58.8,2.386701923242381,73.83073496659243,28.57142857142857,35.423197492163006
Kyrgyz Republic,59.1,99.7,97.4,88.6,6.7459748424065475,99.66592427616926,97.18187730327337,82.13166144200626
Kiribati,144.0,92.8,43.0,72.0,16.48550828548649,91.98218262806236,38.218079340992844,56.1128526645768
South Korea,338.0,100.0,99.9,99.5,38.74074371490355,100.0,99.89161066551053,99.21630094043887
Kuwait,502.0,100.0,100.0,100.0,57.5544478923489,100.0,100.0,100.0
Lao,20.8,100.0,71.9,79.6,2.352286610722664,100.0,69.54259700845438,68.02507836990594
Liberia,2.87,29.8,19.1,72.6,0.2953980991275718,21.82628062360802,12.313028398005638,57.053291536050146
Libya,291.0,70.2,92.1,98.2,33.34901142014787,66.815144766147,91.43724257533059,97.17868338557994
Sri Lanka,57.9,100.0,89.9,87.5,6.608313592327679,100.0,89.0526772165619,80.40752351097179
Lithuania,479.0,100.0,92.2,97.1,54.91594059917059,100.0,91.54563190982007,95.45454545454544
Luxembourg,512.0,100.0,97.6,99.9,58.70162497633947,100.0,97.39865597225233,99.84326018808778
Latvia,459.0,100.0,92.0,98.6,52.62158643118945,100.0,91.3288532408411,97.80564263322883
"Macao, China",181.0,100.0,100.0,100.0,20.7300634962516,100.0,100.0,100.0
Morocco,71.0,100.0,83.5,81.0,8.111115572355326,100.0,82.11575980923477,70.21943573667711
Monaco,872.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Moldova,120.0,100.0,80.9,89.4,13.73228328390912,100.0,79.29763711250814,83.38557993730407
Maldives,19.7,100.0,95.1,99.1,2.226097131483701,100.0,94.68892261001517,98.58934169278996
Mexico,244.0,100.0,88.9,98.0,27.95727912539219,100.0,87.96878387166703,96.8652037617555
North Macedonia,136.0,100.0,96.1,97.6,15.567766618294034,100.0,95.77281595491003,96.23824451410657
Mali,9.22,53.4,39.6,74.8,1.023855547461584,48.10690423162583,34.53284196835031,60.50156739811912
Malta,558.0,100.0,100.0,100.0,63.9786395626961,100.0,100.0,100.0
Myanmar,7.07,72.5,71.7,73.5,0.7772124744036113,69.37639198218262,69.32581833947539,58.46394984326018
Mongolia,61.5,100.0,64.0,79.4,7.021297342564284,100.0,60.97983958378495,67.7115987460815
Mozambique,9.93,31.5,29.2,51.2,1.1053051204249142,23.719376391982184,23.260351181443745,23.510971786833856
Mauritius,150.0,99.6,95.5,99.9,17.173814535880833,99.55456570155903,95.12247994797312,99.84326018808778
