,country,gov_dem_2011,gov_cli_2022,gov_pri_2022,gov_cpi_2017,gov_dem_2011_n,gov_cli_2022_n,gov_pri_2022_n,gov_cpi_2017_n
123,Romania,9.0,2,2,48.0,95.0,83.33333333333333,83.33333333333333,48.75
124,Russia,4.0,6,7,29.0,70.0,16.66666666666667,0.0,25.0
125,Rwanda,-4.0,6,6,55.0,30.0,16.66666666666667,16.66666666666667,57.5
126,Saudi Arabia,-10.0,7,7,49.0,0.0,0.0,0.0,50.0
127,Sudan,-2.0,6,7,16.0,40.0,16.66666666666667,0.0,8.75
128,Senegal,7.0,3,3,45.0,85.0,66.66666666666666,66.66666666666666,45.0
129,Singapore,-2.0,4,4,84.0,40.0,50.0,50.0,93.75
130,Solomon Islands,8.0,2,3,39.0,90.0,83.33333333333333,66.66666666666666,37.5
131,Sierra Leone,7.0,3,3,30.0,85.0,66.66666666666666,66.66666666666666,26.25
132,El Salvador,8.0,4,3,33.0,90.0,50.0,66.66666666666666,30.0
133,Somalia,0.0,7,7,9.0,50.0,0.0,0.0,0.0
134,Serbia,8.0,3,4,41.0,90.0,66.66666666666666,50.0,40.0
135,South Sudan,0.0,7,7,12.0,50.0,0.0,0.0,3.75
136,Suriname,5.0,2,2,41.0,75.0,83.33333333333333,83.33333333333333,40.0
137,Slovak Republic,10.0,1,1,50.0,100.0,100.0,100.0,51.25
138,Slovenia,10.0,1,1,61.0,100.0,100.0,100.0,65.0
139,Sweden,10.0,1,1,84.0,100.0,100.0,100.0,93.75
140,Eswatini,-9.0,6,7,39.0,5.0,16.66666666666667,0.0,37.5
141,Syria,-7.0,7,7,14.0,15.0,0.0,0.0,6.25
142,Chad,-2.0,6,7,20.0,40.0,16.66666666666667,0.0,13.75
143,Togo,-2.0,4,5,32.0,40.0,50.0,33.33333333333333,28.75
144,Thailand,7.0,5,6,37.0,85.0,33.33333333333333,16.66666666666667,35.0
145,Tajikistan,-3.0,7,7,21.0,35.0,0.0,0.0,15.0
146,Turkmenistan,-9.0,7,7,19.0,5.0,0.0,0.0,12.5
147,Timor-Leste,7.0,3,2,38.0,85.0,66.66666666666666,83.33333333333333,36.25
148,Trinidad and Tobago,10.0,2,2,41.0,100.0,83.33333333333333,83.33333333333333,40.0
149,Tunisia,,3,4,42.0,,66.66666666666666,50.0,41.25
150,Turkey,9.0,6,5,40.0,95.0,16.66666666666667,33.33333333333333,38.75
151,Taiwan,10.0,1,1,63.0,100.0,100.0,100.0,67.5
152,Tanzania,-1.0,5,5,36.0,45.0,33.33333333333333,33.33333333333333,33.75
153,Uganda,-1.0,5,6,26.0,45.0,33.33333333333333,16.66666666666667,21.25
154,Ukraine,6.0,4,4,30.0,80.0,50.0,50.0,26.25
155,Uruguay,10.0,1,1,70.0,100.0,100.0,100.0,76.25
156,USA,10.0,2,2,75.0,100.0,83.33333333333333,83.33333333333333,82.5
157,Uzbekistan,-9.0,6,7,22.0,5.0,16.66666666666667,0.0,16.25
158,Venezuela,-3.0,6,7,18.0,35.0,16.66666666666667,0.0,11.25
159,Vietnam,-7.0,6,7,35.0,15.0,16.66666666666667,0.0,32.5
160,Yemen,-2.0,6,7,16.0,40.0,16.66666666666667,0.0,8.75
161,South Africa,9.0,2,2,43.0,95.0,83.33333333333333,83.33333333333333,42.5
162,Zambia,7.0,4,4,37.0,85.0,50.0,50.0,35.0
163,Zimbabwe,1.0,5,6,22.0,55.0,33.33333333333333,16.66666666666667,16.25
