,country,eco_gdp_2022,eco_inflation_2022,eco_invest_2020,eco_trade_2020,eco_gdp_2022_n,eco_inflation_2022_n,eco_invest_2020_n,eco_trade_2020_n,eco_s
157,Timor-Leste,4090,11.4,16.5,-11.4,3.203764250004325,5.889338330797491,27.875946628200506,56.88509021842356,23.46353485685647
158,Tonga,6040,,24.5,-44.4,4.890411195875932,,42.300757302560406,25.546058879392213,18.18430684445714
159,Tunisia,10600,7.57,12.5,-8.15,8.834570207760306,4.468029836345418,20.663541291020554,59.971509971509974,23.484412826659064
160,Turkey,33000,96.0,31.3,-3.1,28.209386406490562,37.284298808772775,54.561846375766315,64.76733143399811,46.205715756256936
161,Tanzania,2620,2.72,38.7,-0.955,1.9322919369626517,2.668200541804282,67.90479624954924,66.80436847103513,34.82741429983783
162,Uganda,2280,4.92,24.2,-6.17,1.6382099053747816,3.484617953761086,41.759826902271904,61.851851851851855,27.183626653314906
163,Ukraine,10700,34.3,8.93,-1.51,8.921064922933208,14.387501391620585,14.22646952758745,66.2773029439696,25.95308469652771
164,Uruguay,24400,4.41,16.4,4.4,20.77084090162091,3.295357553716554,27.695636494771005,71.88983855650523,30.912918376653423
165,USA,64700,7.04,21.1,-2.98,55.6282111163008,4.271347459828552,36.17021276595745,64.88129154795821,40.237765722511256
166,Uzbekistan,8070,13.8,40.0,-13.5,6.646253913885862,6.779975507477641,70.2488279841327,54.89078822412156,34.64146140740444
167,Venezuela,6180,,,,5.011503797117996,,,,1.252875949279499
168,Vietnam,11400,3.86,31.9,5.52,9.52652792914353,3.0912532007273534,55.64370717634331,72.95346628679961,35.30373864825345
169,Vanuatu,2790,12.4,46.9,-31.6,2.0793329527565865,6.26043715441422,82.69022719076813,37.70180436847103,32.182950416602495
170,Samoa,5120,5.64,33.2,-19.1,4.094659816285225,3.751809106765131,57.9877389109268,49.572649572649574,28.851714351656682
171,South Africa,13500,4.76,12.5,4.37,11.34291694777449,3.4252421419824097,20.663541291020554,71.8613485280152,26.823262227198164
172,Zambia,3300,6.1,32.3,14.3,2.5204560001383913,3.9225145656288265,56.3649477100613,81.29154795821462,36.02486655851079
173,Zimbabwe,2140,265.0,13.1,-2.73,1.5171173041327175,100.0,21.745402091597544,65.11870845204177,47.09530696194301
