country,work_employment_2020,work_emptopop_2020,work_business_2019,work_taxes_2019,work_employment_2020_n,work_emptopop_2020_n,work_business_2019_n,work_taxes_2019_n,work_s
Botswana,57.1,49.5,66.2,25.1,50.00000000000001,35.49618320610688,68.40490797546013,8.066037735849058,40.491782229354015
Central African Republic,67.5,65.4,35.6,73.3,69.8473282442748,65.83969465648858,21.472392638036812,30.80188679245283,46.990325582813256
Canada,57.9,58.0,79.6,24.5,51.52671755725191,51.717557251908396,88.95705521472392,7.783018867924528,49.99608722295219
Switzerland,64.2,64.6,76.6,28.8,63.5496183206107,64.31297709923663,84.3558282208589,9.81132075471698,55.507436098855806
Chile,50.8,49.2,72.6,34.0,37.977099236641216,34.92366412213742,78.22085889570552,12.264150943396226,40.846443299470096
China,63.5,61.7,77.3,59.2,62.213740458015266,58.77862595419848,85.42944785276075,24.150943396226417,57.64318941530023
Cote d'Ivoire,51.0,62.4,60.7,50.1,38.3587786259542,60.11450381679389,59.96932515337424,19.858490566037737,44.57527454054002
Cameroon,72.0,68.4,46.1,57.7,78.43511450381679,71.56488549618322,37.57668711656442,23.443396226415093,52.75502083574488
"Congo, Dem. Rep.",58.6,62.0,36.2,50.7,52.86259541984734,59.35114503816794,22.392638036809824,20.141509433962263,38.68697198219684
"Congo, Rep.",59.5,52.1,39.5,54.3,54.58015267175573,40.45801526717558,27.45398773006135,21.839622641509433,36.082944577625526
Colombia,53.0,53.3,70.1,71.2,42.17557251908397,42.74809160305344,74.38650306748467,29.81132075471698,47.28037198608476
Comoros,40.6,39.7,47.9,220.0,18.511450381679396,16.793893129771,40.33742331288344,100.0,43.910691706083455
Cape Verde,49.4,46.2,55.0,37.5,35.30534351145038,29.19847328244276,51.226993865030686,13.915094339622641,32.411476249636614
Costa Rica,50.3,50.7,69.2,58.3,37.02290076335878,37.78625954198474,73.00613496932516,23.72641509433962,42.88542759225207
Cyprus,58.9,57.9,73.4,22.4,53.4351145038168,51.52671755725191,79.44785276073621,6.792452830188678,47.800534412998395
Czech Republic,57.9,58.3,76.3,46.1,51.52671755725191,52.29007633587786,83.89570552147241,17.971698113207548,51.42104938195243
Germany,58.0,58.3,79.7,48.8,51.717557251908396,52.29007633587786,89.11042944785278,19.245283018867923,53.09083651362674
Djibouti,51.9,22.1,60.5,37.9,40.0763358778626,-16.79389312977099,59.66257668711658,14.10377358490566,24.26219825502846
Denmark,58.4,58.5,85.3,23.8,52.48091603053435,52.67175572519084,97.6993865030675,7.452830188679245,52.576222111867985
Dominican Republic,56.2,56.7,60.0,48.8,48.28244274809161,49.23664122137406,58.8957055214724,19.245283018867923,43.915018127451496
Algeria,35.1,34.5,48.6,66.1,8.015267175572525,6.87022900763359,41.41104294478529,27.405660377358487,20.92554987633747
Ecuador,58.7,56.4,57.7,34.4,53.05343511450383,48.66412213740458,55.36809815950921,12.452830188679245,42.384621400024216
Egypt,38.5,38.2,60.1,44.4,14.503816793893133,13.931297709923673,59.04907975460124,17.169811320754718,26.16350139479319
Eritrea,68.5,71.4,21.6,83.7,71.7557251908397,77.29007633587788,0.0,35.70754716981132,46.18833717413223
Spain,47.4,47.6,77.9,47.0,31.48854961832061,31.870229007633593,86.34969325153375,18.39622641509434,42.026174573145575
Estonia,58.8,58.7,80.6,47.8,53.24427480916031,53.05343511450383,90.49079754601227,18.773584905660375,53.8905230938342
Ethiopia,74.3,76.5,48.0,37.7,82.82442748091603,87.02290076335878,40.490797546012274,14.009433962264152,56.086889938137816
Finland,54.8,54.4,80.2,36.6,45.61068702290076,44.84732824427481,89.87730061349694,13.49056603773585,48.45647047960209
Fiji,53.5,53.6,61.5,32.1,43.12977099236641,43.32061068702291,61.19631901840492,11.367924528301886,39.753656306524036
France,49.5,50.2,76.8,60.7,35.49618320610688,36.8320610687023,84.66257668711658,24.858490566037737,45.46232788199087
Gabon,41.4,36.3,45.0,47.1,20.0381679389313,10.30534351145038,35.88957055214725,18.443396226415093,21.169119557236005
UK,60.0,60.0,83.5,30.6,55.53435114503817,55.53435114503817,94.93865030674849,10.660377358490566,54.16693248882885
Georgia,56.2,56.0,83.7,9.9,48.28244274809161,47.900763358778626,95.24539877300616,0.8962264150943398,48.08120782374268
Ghana,63.2,65.8,60.0,55.4,61.64122137404581,66.6030534351145,58.8957055214724,22.358490566037737,52.374617724167614
Guinea,57.0,49.3,49.4,69.3,49.80916030534351,35.11450381679389,42.63803680981595,28.91509433962264,39.119198817894
Gambia,51.7,57.2,50.3,48.4,39.694656488549626,50.190839694656496,44.01840490797546,19.056603773584907,38.24012621619162
Guinea-Bissau,67.2,53.4,43.2,45.5,69.27480916030535,42.93893129770993,33.128834355828225,17.68867924528302,40.75781351478163
Equatorial Guinea,55.2,49.1,41.1,79.4,46.37404580152673,34.73282442748092,29.907975460122703,33.67924528301887,36.17352274303731
Greece,42.7,42.3,68.4,51.9,22.519083969465658,21.75572519083969,71.7791411042945,20.70754716981132,34.190374358602796
Guatemala,54.4,55.2,62.6,35.2,44.84732824427481,46.37404580152673,62.883435582822095,12.830188679245285,41.73374957696723
Guyana,43.2,41.9,55.5,30.6,23.4732824427481,20.99236641221374,51.993865030674854,10.660377358490566,26.779972811031815
"Hong Kong, China",54.9,56.1,85.3,21.9,45.80152671755725,48.09160305343512,97.6993865030675,6.5566037735849045,49.53728001191119
Honduras,54.3,53.9,56.3,39.1,44.656488549618324,43.89312977099237,53.220858895705526,14.669811320754716,39.11007213426773
Croatia,47.6,47.2,73.6,20.5,31.870229007633593,31.106870229007644,79.75460122699387,5.89622641509434,37.156981719682356
Haiti,55.2,55.4,40.7,42.7,46.37404580152673,46.7557251908397,29.29447852760737,16.367924528301888,34.69804351206892
Hungary,54.3,54.3,73.4,37.9,44.656488549618324,44.656488549618324,79.44785276073621,14.10377358490566,45.71615086121963
Indonesia,63.7,64.5,69.6,30.1,62.59541984732825,64.12213740458016,73.61963190184049,10.424528301886792,52.690429363908926
India,43.0,43.3,71.0,49.7,23.09160305343512,23.664122137404576,75.76687116564419,19.669811320754718,35.54810191930965
Ireland,57.8,57.7,79.6,26.1,51.335877862595424,51.14503816793894,88.95705521472392,8.537735849056604,49.99392677357872
Iran,37.8,37.0,58.5,44.7,13.167938931297709,11.641221374045804,56.59509202453989,17.311320754716984,24.6788932711501
Iraq,35.7,34.1,44.7,30.8,9.160305343511459,6.106870229007639,35.429447852760745,10.754716981132075,15.362835101602979
Iceland,69.4,69.4,79.0,31.9,73.47328244274811,73.47328244274811,88.03680981595093,11.273584905660377,61.56423990177689
Israel,59.3,59.1,76.7,25.3,54.19847328244275,53.816793893129784,84.50920245398774,8.160377358490566,50.171211747012705
Italy,43.9,44.1,72.9,59.1,24.80916030534351,25.190839694656493,78.68098159509204,24.10377358490566,38.19618879499942
Jamaica,58.8,60.9,69.7,35.1,53.24427480916031,57.25190839694657,73.77300613496934,12.783018867924529,49.26305205225019
Jordan,30.9,32.3,69.0,28.6,0.0,2.6717557251908373,72.6993865030675,9.716981132075471,21.272030840083453
Japan,60.5,60.3,78.0,46.7,56.48854961832061,56.10687022900763,86.5030674846626,18.254716981132077,54.33830107828073
Kazakhstan,62.1,65.8,79.6,28.4,59.54198473282444,66.6030534351145,88.95705521472392,9.622641509433961,56.181183723024205
Kenya,69.8,69.1,73.2,37.2,74.23664122137404,72.90076335877862,79.14110429447854,13.77358490566038,60.013023445072896
Kyrgyz Republic,50.6,56.5,67.8,29.0,37.59541984732825,48.85496183206107,70.85889570552149,9.90566037735849,41.803734440567325
