country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Panama,0.9550000000000001,1.59,0.78,13.725,7.090000000000001,8.219999999999999,1.36,2.195,8.325,7.420000000000001
Peru,0.7050000000000001,0.27,2.8600000000000003,14.16,6.5,6.225,1.5300000000000002,2.5850000000000004,8.444999999999999,6.58
Philippines,0.6400000000000001,0.96,2.52,14.01,6.620000000000001,4.859999999999999,1.08,2.1100000000000003,7.859999999999999,5.95
Poland,1.1800000000000002,2.7350000000000003,3.5600000000000005,11.04,8.51,8.459999999999999,0.9300000000000002,2.3850000000000002,11.924999999999999,8.26
Portugal,1.9500000000000002,3.665,3.3100000000000005,12.735000000000001,7.45,11.43,1.6600000000000001,2.34,11.28,9.190000000000001
Paraguay,0.65,0.66,3.0300000000000002,13.455,7.32,6.03,2.8200000000000003,2.5,7.83,6.210000000000001
Qatar,1.04,1.915,6.19,6.494999999999999,9.57,5.715,3.58,3.5250000000000004,8.34,2.94
Romania,1.3,2.95,3.5100000000000002,13.02,7.07,7.635,1.7300000000000002,2.0850000000000004,10.889999999999999,7.76
Senegal,0.375,0.775,3.0,13.23,4.6000000000000005,4.125,1.17,1.6050000000000002,5.19,6.58
Singapore,2.2600000000000002,1.875,5.86,5.49,7.93,8.924999999999999,0.68,3.0250000000000004,11.655,5.84
El Salvador,0.87,1.1900000000000002,2.31,13.935,7.15,6.765,1.1199999999999999,1.955,8.145,5.920000000000001
Serbia,1.2750000000000001,3.4250000000000003,3.1100000000000003,11.339999999999998,7.83,7.05,1.35,2.0850000000000004,10.364999999999998,6.170000000000001
Slovenia,1.9300000000000002,3.69,3.7700000000000005,10.665,9.01,9.855,2.72,2.32,12.45,9.120000000000001
Syria,0.5599999999999999,1.865,1.31,13.38,6.890000000000001,5.115,0.27,0.9750000000000001,3.9299999999999997,0.53
Togo,0.24500000000000002,1.64,2.45,13.275,2.62,4.005,2.34,2.165,5.385,3.8000000000000003
Tunisia,0.78,0.9500000000000001,2.35,13.889999999999999,7.4,6.659999999999999,0.63,1.545,8.505,3.95
Turkey,0.925,3.28,4.62,12.66,7.65,7.905,0.86,1.845,8.73,4.59
Tanzania,0.255,1.1400000000000001,3.48,13.53,2.0500000000000003,3.675,2.47,3.1750000000000003,5.1,3.64
Ukraine,0.9,2.9050000000000002,2.6,13.424999999999999,7.57,6.105,1.8100000000000003,2.0,10.455,5.16
Uruguay,1.6,1.925,3.09,12.239999999999998,7.390000000000001,9.93,2.6300000000000003,2.07,9.705,9.41
Venezuela,0.645,0.44000000000000006,0.13,13.815,7.57,6.794999999999999,0.61,1.3650000000000002,6.75,1.57
Vietnam,0.91,1.9649999999999999,3.53,13.739999999999998,6.76,6.194999999999999,0.5,3.1,8.235,1.6
South Africa,0.66,2.0300000000000002,2.68,13.125,6.620000000000001,5.625,0.97,1.385,5.175,7.6000000000000005
Zambia,0.29,0.7250000000000001,3.6,13.77,2.84,3.885,2.1300000000000003,2.3600000000000003,3.5549999999999997,5.5
Zimbabwe,0.34500000000000003,2.67,4.71,13.68,3.3000000000000003,2.625,2.19,2.545,3.5999999999999996,3.0300000000000002
