country,env_foot_2022,env_co2_2022,env_water_2020,env_sdi_2019,env_foot_2022_n,env_co2_2022_n,env_water_2020_n,env_sdi_2019_n
Czech Republic,21.3,9.84,20.8,37.6,75.56024873870703,64.01701253941482,99.4604481081242,38.37209302325582
Germany,19.4,9.3,33.5,39.3,77.78951073565646,65.99692014372663,99.1305756305902,40.56847545219639
Djibouti,15.9,0.734,6.33,56.3,81.89604599319489,97.40412114101342,99.83629493882631,62.532299741602074
Denmark,25.9,7.68,26.4,35.5,70.16308811451367,71.93664295666203,99.31499252747929,35.65891472868218
Dominican Republic,9.54,3.11,39.6,80.2,89.35820720403613,88.6925276820415,98.97213294453057,93.4108527131783
Algeria,11.2,3.88,138.0,80.3,87.41053619617506,85.86932609811542,96.41627059891283,93.54005167958657
Ecuador,7.74,2.7,6.78,78.3,91.47013962219876,90.19579086309305,99.82460654395307,90.95607235142118
Egypt,8.22,2.4,141.0,75.5,90.90695764402206,91.29573953215517,96.3383479664245,87.33850129198966
Eritrea,3.47,0.234,11.2,,96.48011263639563,99.2373689227836,99.7098005320869,
Spain,13.5,5.66,43.3,46.2,84.71195588407838,79.34296399501356,98.8760283644616,49.483204134366936
Estonia,37.5,10.4,9.23,20.1,56.55285697524346,61.96377502383222,99.76096972742091,15.762273901808788
Ethiopia,0.47,0.188,32.3,52.3,100.0,99.40602771870645,99.16174468358554,57.36434108527133
Finland,36.7,8.76,7.11,22.3,57.491493605537954,67.97682774803843,99.81603505437934,18.6046511627907
France,17.1,6.07,23.0,52.2,80.48809104775313,77.83970081396201,99.40330484429941,57.23514211886305
Gabon,9.15,2.76,0.502,75.7,89.8157925613047,89.97580112928064,99.98767263954035,87.59689922480621
UK,17.9,6.93,14.4,39.1,79.54945441745863,74.6865146293173,99.62668305743267,40.31007751937985
Georgia,10.3,3.77,5.39,83.9,88.46650240525636,86.27264061010486,99.860710697006,98.19121447028425
Ghana,3.92,0.773,6.31,65.9,95.95212953185498,97.26112781403535,99.83681442304291,74.93540051679588
Guinea,4.77,0.472,1.37,51.4,94.95482811216708,98.364742978661,99.96512702454038,56.2015503875969
Gambia,3.77,0.293,2.21,53.4,96.1281239000352,99.02104568453473,99.94330868744365,58.78552971576228
Greece,15.2,5.27,20.5,32.8,82.71735304470258,80.77289726479431,99.46824037137303,32.17054263565892
Guatemala,7.24,1.34,5.74,71.4,92.05678751613281,95.18222482950796,99.85161972321569,82.04134366925067
Honduras,6.06,0.876,4.62,68.3,93.4412765458172,96.88347877099069,99.88071083934467,78.03617571059432
Croatia,17.1,5.94,1.48,69.0,80.48809104775313,78.31634523722227,99.96226986134914,78.94056847545221
Haiti,2.4,0.272,13.4,54.9,97.73553912941452,99.09804209136907,99.65265726826212,60.72351421188631
Hungary,15.3,6.41,8.07,73.4,82.60002346591575,76.59309232235829,99.79109981198307,84.62532299741603
Indonesia,6.77,2.36,29.7,77.1,92.60823653643084,91.44239935469678,99.22927763174211,89.40568475452196
India,5.23,1.87,66.5,69.6,94.41511204974773,93.23898218083156,98.2734266732184,79.71576227390182
Ireland,49.3,8.59,21.6,42.4,42.70796667839963,68.6001319938403,99.43966873946064,44.57364341085272
Iran,13.2,7.67,81.3,61.2,85.06394462043882,71.97330791229743,97.88900835294257,68.86304909560724
Iraq,11.9,5.76,79.5,70.4,86.58922914466737,78.97631443865953,97.93576193243557,80.74935400516797
Iceland,59.6,9.99,0.394,23.2,30.62302006335797,63.46703820488377,99.99047785430993,19.76744186046512
Israel,30.8,8.6,110.0,41.9,64.41393875395988,68.56346703820489,97.14354850213739,43.92764857881137
Italy,11.8,6.92,29.6,52.5,86.70655872345418,74.7231795849527,99.23187505282505,57.62273901808786
Jamaica,9.95,2.43,12.5,75.6,88.87715593101021,91.18574466524896,99.67603405800863,87.46770025839793
Jordan,7.03,2.9,104.0,77.1,92.30317963158512,89.46249175038498,97.29939376711408,89.40568475452196
Japan,18.2,9.99,36.0,30.5,79.19746568109821,63.46703820488377,99.06564010351659,29.19896640826874
Kazakhstan,34.4,9.66,34.1,39.5,60.190073917634635,64.67698174085209,99.11499110409254,40.826873385012924
Kenya,4.62,0.562,33.2,64.7,95.13082248034729,98.03475837794237,99.13836789383903,73.38501291989665
Kyrgyz Republic,7.82,2.81,50.0,74.6,91.3762759591693,89.79247635110362,98.7020011519043,86.17571059431525
Cambodia,5.7,2.55,1.04,64.0,93.86366302944973,90.74576519762411,99.9736985141141,72.48062015503876
South Korea,22.0,13.5,85.2,27.4,74.73894168719934,50.59763877685708,97.78770893070771,25.193798449612405
Kuwait,65.3,24.0,3850.0,9.9,23.935234072509687,12.099435359683213,0.0,2.583979328165375
Lao,9.64,3.3,4.79,65.8,89.24087762524933,87.99589352496884,99.87629522350367,74.8062015503876
Lebanon,12.4,3.92,58.8,69.9,86.00258125073331,85.7226662755738,98.47342809660516,80.10335917312663
Liberia,2.71,0.354,0.264,51.7,97.3718174351754,98.79738945515876,99.99385450171775,56.589147286821714
Libya,16.1,8.84,817.0,75.7,81.66138683562126,67.68350810295519,78.7797814457173,87.59689922480621
Sri Lanka,4.36,1.76,90.8,84.3,95.435879385193,93.642296692821,97.6422533500628,98.70801033591731
Lithuania,40.1,7.21,1.83,29.1,53.50228792678634,73.659895871526,99.95317888755883,27.39018087855298
Latvia,31.0,7.57,1.07,53.5,64.17927959638625,72.33995746865146,99.97291928778921,58.91472868217055
Morocco,6.95,2.0,50.8,73.9,92.39704329461458,92.76233775757132,98.68122178324074,85.27131782945737
Moldova,3.41,1.25,12.6,80.8,96.55051038366773,95.51220943022659,99.67343663692567,94.18604651162791
Madagascar,1.51,0.209,11.3,56.8,98.77977238061716,99.32903131187211,99.70720311100396,63.17829457364342
Mexico,10.8,3.64,44.8,78.0,87.8798545113223,86.74928503336511,98.83706704821743,90.56847545219638
North Macedonia,12.3,3.51,38.7,71.9,86.11991082952012,87.22592945662535,98.99550973427706,82.687338501292
Mali,4.57,0.204,8.0,46.7,95.1894872697407,99.34736378968981,99.79291800674113,50.12919896640828
Malta,40.7,17.3,81.9,54.2,52.798310454065465,36.66495563540368,97.87342382644489,59.81912144702843
Myanmar,2.06,0.549,5.8,62.8,98.13445969728969,98.08242282026839,99.85006127056593,70.93023255813954
Mongolia,10.6,14.2,3.4,73.2,88.11451366889594,48.03109188237883,99.9123993765566,84.3669250645995
Mozambique,2.19,0.456,1.75,49.1,97.98193124486683,98.42340690767764,99.95525682442519,53.22997416020672
Mauritania,7.75,0.661,13.2,58.8,91.45840666432008,97.67177531715187,99.65785211042801,65.7622739018088
Malawi,1.71,0.139,17.5,52.1,98.54511322304353,99.58568600131994,99.54616300386138,57.105943152454785
Malaysia,19.6,7.5,3.44,46.6,77.55485157808283,72.59661215809929,99.91136040812343,50.000000000000014
Namibia,11.9,3.97,0.862,66.9,86.58922914466737,85.53934149739679,99.97832192364174,76.22739018087857
Niger,4.19,0.113,11.0,42.4,95.63533966913059,99.68101488597199,99.7149953742528,44.57364341085272
Nigeria,3.6,0.692,9.67,58.1,96.32758418397277,97.55811395468211,99.74954107465597,64.85788113695091
Nicaragua,5.4,0.944,2.22,71.1,94.21565176581016,96.63415707266994,99.94304894533535,81.65374677002585
Netherlands,32.3,8.77,16.8,29.9,62.65399507215769,67.94016279240302,99.564344951442,28.423772609819125
Norway,38.8,8.72,2.05,19.7,55.027572451014905,68.12348757058004,99.94746456117636,15.245478036175712
Nepal,5.58,0.922,8.31,64.8,94.0044585239939,96.71481997506783,99.784866001384,73.51421188630492
New Zealand,30.7,7.51,8.05,43.6,64.53126833274669,72.55994720246389,99.79161929619967,46.12403100775195
Oman,8.91,14.9,117.0,63.1,90.09738355039306,45.46454498790056,96.96172902633126,71.31782945736435
Pakistan,3.45,1.1,116.0,60.0,96.503578552153,96.06218376475765,96.9877032371607,67.31266149870802
Panama,13.5,4.02,0.901,82.1,84.71195588407838,85.35601671921977,99.9773089294194,95.8656330749354
Peru,9.43,2.01,7.18,81.8,89.48726974070163,92.72567280193591,99.81421685962128,95.4780361757106
Philippines,8.77,1.61,26.3,77.3,90.2616449606946,94.19227102735206,99.31758994856223,89.66408268733849
Papua New Guinea,5.23,0.986,0.132,59.8,94.41511204974773,96.48016425900124,99.99728309754724,67.05426356589147
Poland,17.9,8.01,30.0,42.6,79.54945441745863,70.7266994206937,99.22148536849328,44.83204134366926
Portugal,12.3,4.6,12.3,62.4,86.11991082952012,83.22944929236635,99.68122890017452,70.41343669250647
Paraguay,18.9,2.0,1.84,75.9,78.37615862959052,92.76233775757132,99.95291914545054,87.85529715762274
Qatar,33.7,27.3,431.0,26.0,61.011380969142316,0.0,88.80582682588442,23.385012919896646
Romania,16.0,4.36,6.01,71.1,81.77871641440808,84.10940822761604,99.84460668629174,81.65374677002585
Russia,9.49,9.97,4.12,68.5,89.41687199342954,63.540368116154575,99.8936979447594,78.29457364341086
Rwanda,2.0,0.179,20.2,58.5,98.20485744456177,99.43902617877832,99.47603263462187,65.374677002584
Saudi Arabia,30.0,18.4,974.0,45.6,65.35257538425438,32.63181051550929,74.70183034549389,48.70801033591732
Senegal,4.09,1.02,16.3,55.2,95.7526692479174,96.35550340984088,99.57733205685672,61.11111111111112
Singapore,50.4,25.4,83.1,7.9,41.41734131174469,6.966341570726698,97.84225477344955,0.0
Sierra Leone,2.12,0.154,0.496,48.6,98.0640619500176,99.53068856786683,99.98782848480532,52.583979328165384
El Salvador,5.87,1.47,2.43,72.4,93.66420274551214,94.7055804062477,99.93759436106117,83.33333333333334
Serbia,15.7,5.11,6.0,38.2,82.1307051507685,81.35953655496077,99.84486642840004,39.147286821705436
Slovak Republic,19.1,7.37,2.39,23.0,78.14149947201689,73.07325658135954,99.93863332949435,19.50904392764858
Slovenia,25.4,8.46,6.78,42.5,70.74973600844773,69.07677641710053,99.82460654395307,44.702842377260986
Sweden,26.7,5.96,3.58,32.5,69.22445148421917,78.24301532595146,99.9077240186073,31.78294573643411
Syria,1.91,1.85,124.0,60.7,98.31045406546991,93.31231209210237,96.77990955052512,68.2170542635659
Chad,8.26,0.072,4.29,42.8,90.86002581250733,99.83134120407715,99.8892823289184,45.090439276485796
Togo,4.14,0.906,3.39,55.5,95.69400445852399,96.77348390408447,99.91265911866489,61.498708010335925
Thailand,11.8,3.92,23.0,73.7,86.70655872345418,85.7226662755738,99.40330484429941,85.01291989664084
Tajikistan,5.75,1.47,69.9,71.9,93.80499824005632,94.7055804062477,98.18511435639827,82.687338501292
Turkmenistan,13.1,15.5,135.0,25.5,85.18127419922563,43.26464764977634,96.49419323140118,22.739018087855303
Tunisia,9.17,2.26,98.1,78.6,89.79232664554735,91.80904891105082,97.45264161100783,91.34366925064599
Turkey,17.5,4.95,45.7,67.5,80.0187727326059,81.94617584512723,98.81369025847093,77.00258397932818
Tanzania,1.58,0.311,13.0,56.9,98.69764167546639,98.955048764391,99.6630469525939,63.30749354005169
Uganda,1.92,0.183,5.83,58.6,98.29872110759122,99.42436019652416,99.84928204424104,65.50387596899226
Ukraine,11.9,4.35,12.3,75.8,86.58922914466737,84.14607318325145,99.68122890017452,87.72609819121446
Uruguay,17.5,3.21,9.79,52.9,80.0187727326059,88.32587812568747,99.74642416935643,58.139534883720934
USA,29.6,16.4,28.2,18.1,65.82189369940161,39.96480164259002,99.26823894798628,13.178294573643413
Uzbekistan,6.12,2.8,169.0,76.1,93.3708787985451,89.82914130673902,95.61107006319993,88.11369509043928
Venezuela,9.6,0.673,7.54,71.2,89.28780945676405,97.62777737038938,99.80486614372269,81.78294573643412
Vietnam,8.52,2.17,18.1,72.9,90.55496890766162,92.13903351176945,99.5305784773637,83.97932816537468
Yemen,2.89,0.395,170.0,50.6,97.16062419335914,98.6470631370536,95.58509585237049,55.167958656330754
South Africa,7.55,5.18,65.0,69.0,91.6930658218937,81.10288186551294,98.31238798946258,78.94056847545221
Zambia,2.38,0.424,2.84,62.9,97.75900504517189,98.54073476571094,99.92694493462109,71.05943152454782
Zimbabwe,1.21,0.804,35.4,61.5,99.13176111697759,97.14746645156559,99.08122463001425,69.25064599483206
