country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Colombia,2.64,9.719999999999999,2.69,9.36,7.21,2.9250000000000003,1.085,7.109999999999999,4.93,3.375
Comoros,0.855,4.859999999999999,1.77,4.98,4.720000000000001,1.62,0.63,6.645,3.5500000000000003,2.5100000000000002
Cape Verde,1.77,6.84,2.49,6.920000000000001,6.29,2.1,0.305,4.905,3.3200000000000003,4.470000000000001
Costa Rica,3.7199999999999998,10.62,2.8200000000000003,9.370000000000001,7.720000000000001,3.3450000000000006,0.945,6.45,5.93,4.53
Cuba,1.11,8.49,2.4000000000000004,9.370000000000001,7.040000000000001,4.18,0.43,2.6999999999999997,4.170000000000001,0.9900000000000001
Cayman Islands,5.744999999999999,0.0,2.15,,6.88,0.0,0.0,,,
Cyprus,5.909999999999999,11.355,3.16,6.740000000000001,8.76,2.9800000000000004,0.435,7.185,7.340000000000001,4.5
Czech Republic,4.725,3.3,3.59,6.940000000000001,8.440000000000001,3.34,1.0650000000000002,7.725,8.57,4.375
Germany,7.6499999999999995,3.615,3.49,7.090000000000001,8.770000000000001,3.765,0.845,7.98,8.93,4.875
Djibouti,0.6,0.045,1.99,8.540000000000001,4.6000000000000005,1.725,0.41500000000000004,3.675,2.39,1.51
Dominica,2.625,1.005,0.2,4.760000000000001,6.790000000000001,2.08,0.11000000000000001,2.7150000000000003,3.85,3.25
Denmark,6.975,2.4,3.6200000000000006,6.93,8.450000000000001,3.63,1.05,7.89,9.520000000000001,4.985
Dominican Republic,1.62,6.48,2.97,9.26,7.140000000000001,2.4000000000000004,0.335,6.63,5.57,3.1050000000000004
Algeria,1.77,2.52,3.74,9.08,6.88,2.225,0.38,3.195,6.210000000000001,1.75
Ecuador,2.145,8.715,2.91,9.31,7.03,2.92,0.7000000000000001,6.405,4.79,3.17
Egypt,1.6649999999999998,4.484999999999999,2.4800000000000004,9.15,7.3500000000000005,2.195,0.28500000000000003,3.9599999999999995,5.460000000000001,1.2750000000000001
Eritrea,0.44999999999999996,4.08,0.020000000000000004,7.390000000000001,1.9600000000000002,1.35,1.145,7.02,2.32,0.36000000000000004
Spain,5.46,6.06,3.1500000000000004,7.81,8.73,3.535,0.9800000000000001,6.315,8.340000000000002,4.5
Estonia,6.044999999999999,10.065,3.69,5.8500000000000005,8.39,3.0100000000000002,0.925,8.084999999999999,7.6000000000000005,4.655
Ethiopia,0.285,1.08,3.18,8.9,1.5300000000000002,1.4000000000000001,1.32,8.459999999999999,3.5700000000000003,1.51
Finland,5.28,4.08,3.4200000000000004,6.1000000000000005,8.64,3.4250000000000003,1.645,7.2749999999999995,9.48,4.94
Fiji,1.4549999999999998,2.52,2.18,7.050000000000001,7.2700000000000005,1.85,0.41500000000000004,6.0,4.2700000000000005,2.04
France,8.025,1.275,3.28,7.870000000000001,8.709999999999999,3.6200000000000006,1.7550000000000001,6.84,8.690000000000001,4.43
Faeroe Islands,3.9299999999999997,,2.9800000000000004,,5.0,,0.06999999999999999,,,
"Micronesia, Fed. Sts.",0.81,1.395,0.8,2.37,6.490000000000001,2.3000000000000003,0.025,2.505,3.3100000000000005,2.5
Gabon,1.41,5.565,3.4600000000000004,9.18,5.300000000000001,1.6350000000000002,1.695,3.24,5.210000000000001,1.59
UK,8.16,4.29,3.09,7.3500000000000005,8.56,3.41,0.7050000000000001,8.13,8.540000000000001,4.890000000000001
Georgia,3.165,8.505,2.59,9.32,7.140000000000001,3.465,0.8050000000000002,7.215,6.25,3.1950000000000003
Ghana,1.125,2.37,2.75,9.200000000000001,4.36,1.645,0.8050000000000002,7.89,4.3100000000000005,3.6950000000000003
Gibraltar,6.3,3.75,,,7.5,,0.375,,,
Guinea,0.87,1.5,2.7100000000000004,8.74,2.59,1.3800000000000001,0.8550000000000001,5.925,4.510000000000001,1.845
Gambia,1.005,3.87,2.37,8.85,4.39,1.645,0.645,5.79,3.74,1.89
Guinea-Bissau,0.78,2.355,2.18,4.98,2.15,1.585,1.135,6.180000000000001,1.7800000000000002,2.165
Equatorial Guinea,0.42,6.09,2.06,6.609999999999999,4.29,1.585,0.09000000000000001,5.49,2.97,0.44000000000000006
Greece,5.13,10.125,2.59,7.38,7.7,3.725,0.5700000000000001,5.159999999999999,7.6000000000000005,3.9450000000000003
Grenada,2.79,0.0,0.22000000000000003,4.7700000000000005,6.93,2.4250000000000003,0.135,2.5799999999999996,4.510000000000001,2.965
Greenland,2.97,,2.8200000000000003,,6.48,0.0,0.15000000000000002,,,
Guatemala,1.68,6.705,2.2600000000000002,9.23,6.5,2.0500000000000003,1.04,6.3,4.510000000000001,2.67
Guam,1.425,0.0,0.48,,7.220000000000001,0.0,0.045000000000000005,3.8549999999999995,,
Guyana,2.235,0.0,0.55,4.71,6.920000000000001,2.1750000000000003,0.15500000000000003,4.065,3.66,3.33
"Hong Kong, China",9.015,4.545,3.29,1.57,7.56,0.0,0.125,7.4399999999999995,4.57,1.06
Honduras,0.975,2.925,2.32,9.209999999999999,6.720000000000001,1.79,0.82,5.909999999999999,4.2,2.625
