country,work_employment_2020,work_emptopop_2020,work_business_2019,work_taxes_2019,work_employment_2020_n,work_emptopop_2020_n,work_business_2019_n,work_taxes_2019_n,work_s
Estonia,58.8,58.7,80.6,47.8,53.24427480916031,53.05343511450383,90.71856287425149,18.773584905660375,53.947464425894005
Ethiopia,74.3,76.5,48.0,37.7,82.82442748091603,87.02290076335878,41.91616766467066,14.009433962264152,56.44323246780241
Finland,54.8,54.4,80.2,36.6,45.61068702290076,44.84732824427481,90.11976047904191,13.49056603773585,48.51708544598833
Fiji,53.5,53.6,61.5,32.1,43.12977099236641,43.32061068702291,62.125748502994014,11.367924528301886,39.98601367767131
France,49.5,50.2,76.8,60.7,35.49618320610688,36.8320610687023,85.02994011976048,24.858490566037737,45.55416874015185
Gabon,41.4,36.3,45.0,47.1,20.0381679389313,10.30534351145038,37.4251497005988,18.443396226415093,21.55301434434889
UK,60.0,60.0,83.5,30.6,55.53435114503817,55.53435114503817,95.05988023952096,10.660377358490566,54.19723997202197
Georgia,56.2,56.0,83.7,9.9,48.28244274809161,47.900763358778626,95.35928143712576,0.8962264150943398,48.109678489772584
Ghana,63.2,65.8,60.0,55.4,61.64122137404581,66.6030534351145,59.880239520958085,22.358490566037737,52.62075122403904
Guinea,57.0,49.3,49.4,69.3,49.80916030534351,35.11450381679389,44.01197604790419,28.91509433962264,39.46268362741606
Gambia,51.7,57.2,50.3,48.4,39.694656488549626,50.190839694656496,45.359281437125745,19.056603773584907,38.575345348479196
Guinea-Bissau,67.2,53.4,43.2,45.5,69.27480916030535,42.93893129770993,34.730538922155695,17.68867924528302,41.1582396563635
Equatorial Guinea,55.2,49.1,41.1,79.4,46.37404580152673,34.73282442748092,31.58682634730539,33.67924528301887,36.59323546483298
Greece,42.7,42.3,68.4,51.9,22.519083969465658,21.75572519083969,72.4550898203593,20.70754716981132,34.359361537618994
Guatemala,54.4,55.2,62.6,35.2,44.84732824427481,46.37404580152673,63.77245508982036,12.830188679245285,41.956004453716794
Guam,57.8,57.9,,,51.335877862595424,51.52671755725191,,,25.715648854961835
Guyana,43.2,41.9,55.5,30.6,23.4732824427481,20.99236641221374,53.143712574850305,10.660377358490566,27.067434697075676
"Hong Kong, China",54.9,56.1,85.3,21.9,45.80152671755725,48.09160305343512,97.75449101796407,6.5566037735849045,49.55105614063533
Honduras,54.3,53.9,56.3,39.1,44.656488549618324,43.89312977099237,54.341317365269454,14.669811320754716,39.39018675165872
Croatia,47.6,47.2,73.6,20.5,31.870229007633593,31.106870229007644,80.23952095808382,5.89622641509434,37.27821165245485
