country,health_life_2022,health_doc_2017,health_spending_2010,health_uhc_2021
Timor-Leste,71.4,0.751,9.12,52.0
Tonga,73.4,,5.07,57.0
Trinidad and Tobago,75.4,3.15,5.67,75.0
Tunisia,75.9,1.26,6.21,67.0
Turkey,79.0,1.83,6.74,76.0
Tuvalu,68.5,,17.5,52.0
Taiwan,80.9,,,
Tanzania,67.0,,6.01,43.0
Uganda,66.9,0.172,9.01,49.0
Ukraine,67.9,,7.72,76.0
Uruguay,78.0,4.96,8.35,82.0
USA,78.0,,17.9,86.0
Uzbekistan,68.8,,5.81,75.0
St. Vincent and the Grenadines,69.1,,4.47,69.0
Venezuela,74.0,1.66,4.91,75.0
Vietnam,75.0,,6.84,68.0
Vanuatu,66.0,,5.25,47.0
Samoa,70.9,,6.47,55.0
Yemen,66.3,,5.18,42.0
South Africa,60.5,0.788,8.94,71.0
Zambia,62.2,,5.89,56.0
Zimbabwe,59.1,0.179,,55.0
Aruba,,,,
American Samoa,,,,
Bermuda,,,,
Channel Islands,,,,
Cayman Islands,,,,
Isle of Man,,,,
Greenland,,,,
Guam,,,,
"Macao, China",,,,
Northern Mariana Islands,,,,
New Caledonia,,,,
Puerto Rico,,,,
French Polynesia,,,,
Virgin Islands (U.S.),,,,
Cook Is,,,4.35,
Niue,,,17.4,
