country,com_fixed_2020,com_cell_2020,com_broad_2020,com_pcs_2005,com_fixed_2020_n,com_cell_2020_n,com_broad_2020_n,com_pcs_2005_n,com_s
UK,48.8,118.0,40.8,76.5,41.355932203389834,26.305271046714964,63.551401869158866,86.2426702751466,54.36381884860256
Georgia,10.3,135.0,25.7,4.7,8.728813559322035,30.552085935548337,40.03115264797508,5.2774018944519625,21.14736350932435
Ghana,0.956,126.0,0.244,0.58,0.8101694915254237,28.303772170871845,0.38006230529595014,0.6314839873703201,7.531371988765885
Gibraltar,52.1,108.0,64.2,,44.152542372881356,23.80714464151886,100.0,,41.98992175360006
Guinea,,104.0,0.00757,0.48,,22.80789407944042,0.011791277258566978,0.5187189896256201,5.834601086581151
Gambia,2.33,104.0,0.194,1.65,1.9745762711864407,22.80789407944042,0.3021806853582555,1.8380694632386105,6.730680124805931
Guinea-Bissau,,94.9,0.118,0.19,,20.534599050711964,0.18380062305295947,0.19170049616599005,5.227525042482728
Equatorial Guinea,0.705,46.6,0.115,1.79,0.597457627118644,8.46864851361479,0.1791277258566978,1.9959404600811907,2.8102935816678305
Greece,46.2,109.0,40.5,9.17,39.152542372881356,24.05695728203847,63.08411214953271,10.317997293640053,34.15290227452314
Grenada,15.6,96.0,25.8,,13.220338983050848,20.80939295528354,40.18691588785047,,18.554161956546213
Greenland,11.3,118.0,27.9,,9.576271186440678,26.305271046714964,43.45794392523364,,19.834871539597323
Guatemala,13.1,117.0,3.52,2.08,11.101694915254237,26.055458406195353,5.482866043613707,2.322958953540821,11.240744579651029
Guam,41.4,,1.77,,35.08474576271186,,2.7570093457943923,,9.460438777126564
Guyana,15.7,107.0,11.9,3.86,13.305084745762711,23.55733200099925,18.53582554517134,4.330175913396482,14.932104551332445
"Hong Kong, China",52.0,291.0,38.5,59.3,44.067796610169495,69.52285785660754,59.968847352024916,66.84709066305817,60.10164812046503
Honduras,5.25,68.8,3.92,1.43,4.4491525423728815,14.014489133150136,6.105919003115265,1.5899864682002705,6.539886786709638
Croatia,31.7,107.0,25.2,,26.864406779661017,23.55733200099925,39.25233644859813,,22.418518807314598
Haiti,0.0531,64.7,0.274,0.19,0.045000000000000005,12.990257307019736,0.42679127725856697,0.19170049616599005,3.413437270111073
Hungary,30.5,106.0,33.5,14.4,25.847457627118644,23.30751936047964,52.18068535825545,16.215606675687866,29.3878172553854
