country,edu_adulit_2011,edu_prim_2020,edu_femalit_2009,edu_exp_2015,edu_adulit_2011_n,edu_prim_2020_n,edu_femalit_2009_n,edu_exp_2015_n
Palestine,95.3,99.1,100.0,,93.22289156626505,63.324873096446694,68.81496881496881,
Qatar,,103.0,100.0,,,68.2741116751269,68.81496881496881,
Romania,97.7,86.4,100.0,8.65,96.83734939759037,47.208121827411176,68.81496881496881,11.846076458752517
Russia,,,100.0,,,,68.81496881496881,
Rwanda,,,101.0,5.54,,,70.89397089397089,4.0241448692152915
Saudi Arabia,87.2,,97.8,,81.02409638554217,,64.24116424116423,
Sudan,71.9,,,,57.98192771084338,,,
Senegal,,61.5,75.7,13.7,,15.60913705583756,18.29521829521829,24.547283702213278
Singapore,,101.0,100.0,,,65.73604060913706,68.81496881496881,
Sierra Leone,43.3,85.3,71.0,,14.909638554216864,45.81218274111675,8.523908523908514,
El Salvador,,,101.0,13.6,,,70.89397089397089,24.29577464788732
Serbia,98.0,98.2,,43.7,97.289156626506,62.182741116751274,,100.0
Sao Tome and Principe,,,101.0,,,,70.89397089397089,
Suriname,,85.6,,,,46.19289340101522,,
Slovenia,99.7,96.8,100.0,24.6,99.84939759036145,60.406091370558364,68.81496881496881,51.961770623742446
Eswatini,87.8,,103.0,,81.92771084337349,,75.05197505197505,
Seychelles,91.8,97.9,,,87.95180722891565,61.8020304568528,,
Syria,84.1,55.7,97.1,,76.35542168674698,8.248730964467006,62.785862785862776,
Chad,35.4,,72.8,,3.012048192771084,,12.266112266112248,
Togo,60.4,87.5,,16.1,40.662650602409634,48.60406091370558,,30.58350100603622
Thailand,,99.4,,,,63.70558375634518,,
Tajikistan,99.7,,100.0,,99.84939759036145,,68.81496881496881,
Turkmenistan,99.6,,100.0,,99.69879518072287,,68.81496881496881,
Timor-Leste,,101.0,,,,65.73604060913706,,
Tonga,,113.0,,,,80.96446700507614,,
Trinidad and Tobago,98.8,,100.0,,98.49397590361447,,68.81496881496881,
Tunisia,,97.7,,,,61.54822335025381,,
Turkey,94.1,101.0,97.5,14.4,91.4156626506024,65.73604060913706,63.61746361746361,26.307847082494966
Tanzania,,67.1,97.3,,,22.715736040609126,63.20166320166319,
Uganda,,,,,,,,
Ukraine,99.7,89.8,100.0,,99.84939759036145,51.522842639593904,68.81496881496881,
Uruguay,,101.0,102.0,,,65.73604060913706,72.97297297297297,
Uzbekistan,99.4,102.0,100.0,,99.39759036144578,67.00507614213198,68.81496881496881,
Venezuela,,,,17.9,,,,35.110663983903414
Vietnam,93.4,,99.1,,90.36144578313254,,66.94386694386694,
Vanuatu,83.2,96.7,100.0,13.5,75.0,60.27918781725889,68.81496881496881,24.044265593561367
Samoa,98.8,102.0,100.0,,98.49397590361447,67.00507614213198,68.81496881496881,
Yemen,65.3,,75.5,,48.04216867469879,,17.87941787941787,
South Africa,93.0,95.5,,,89.7590361445783,58.756345177664976,,
Zambia,,,82.3,14.3,,,32.016632016632,26.056338028169016
Zimbabwe,83.6,91.9,101.0,,75.6024096385542,54.18781725888325,70.89397089397089,
Andorra,,62.7,,13.5,,17.131979695431472,,24.044265593561367
Austria,,97.6,,23.2,,61.42131979695431,,48.44064386317906
Belgium,,,,22.0,,,,45.42253521126759
Bahamas,,,,,,,,
Bermuda,,,,8.05,,,,10.337022132796783
Barbados,,94.1,,,,56.979695431472074,,
Canada,,,,17.6,,,,34.356136820925556
Switzerland,,94.3,,24.6,,57.23350253807106,,51.961770623742446
"Congo, Rep.",,,,,,,,
Czech Republic,,96.7,,14.9,,60.27918781725889,,27.565392354124747
Germany,,98.4,,17.5,,62.43654822335026,,34.10462776659959
Djibouti,,50.1,,,,1.1421319796954297,,
Dominica,,,,14.6,,,,26.810865191146878
Denmark,,99.7,,,,64.08629441624366,,
Finland,,99.2,,22.0,,63.45177664974619,,45.42253521126759
Fiji,,102.0,,,,67.00507614213198,,
France,,,,17.5,,,,34.10462776659959
"Micronesia, Fed. Sts.",,78.5,,,,37.18274111675127,,
UK,,97.7,,25.0,,61.54822335025381,,52.96780684104627
Gibraltar,,128.0,,,,100.0,,
Grenada,,,,,,,,
"Hong Kong, China",,123.0,,14.9,,93.65482233502539,,27.565392354124747
Ireland,,99.0,,11.8,,63.19796954314721,,19.76861167002012
Iceland,,98.4,,22.8,,62.43654822335026,,47.434607645875246
Japan,,,,,,,,
