country,env_foot_2022,env_co2_2022,env_water_2020,env_sdi_2019,env_foot_2022_n,env_co2_2022_n,env_water_2020_n,env_sdi_2019_n,env_s
Ethiopia,0.47,0.188,32.3,52.3,100.0,99.40602771870645,99.16174468358554,57.36434108527133,88.98302837189084
Finland,36.7,8.76,7.11,22.3,57.491493605537954,67.97682774803843,99.81603505437934,18.6046511627907,60.97225189268661
France,17.1,6.07,23.0,52.2,80.48809104775313,77.83970081396201,99.40330484429941,57.23514211886305,78.7415597062194
Gabon,9.15,2.76,0.502,75.7,89.8157925613047,89.97580112928064,99.98767263954035,87.59689922480621,91.84404138873296
UK,17.9,6.93,14.4,39.1,79.54945441745863,74.6865146293173,99.62668305743267,40.31007751937985,73.54318240589711
Georgia,10.3,3.77,5.39,83.9,88.46650240525636,86.27264061010486,99.860710697006,98.19121447028425,93.19776704566287
Ghana,3.92,0.773,6.31,65.9,95.95212953185498,97.26112781403535,99.83681442304291,74.93540051679588,91.99636807143227
Guinea,4.77,0.472,1.37,51.4,94.95482811216708,98.364742978661,99.96512702454038,56.2015503875969,87.37156212574133
Gambia,3.77,0.293,2.21,53.4,96.1281239000352,99.02104568453473,99.94330868744365,58.78552971576228,88.46950199694396
Equatorial Guinea,15.9,4.75,0.183,,81.89604599319489,82.6794749578353,99.99595841279493,,66.14286984095628
Greece,15.2,5.27,20.5,32.8,82.71735304470258,80.77289726479431,99.46824037137303,32.17054263565892,73.78225832913222
Guatemala,7.24,1.34,5.74,71.4,92.05678751613281,95.18222482950796,99.85161972321569,82.04134366925067,92.28299393452679
Honduras,6.06,0.876,4.62,68.3,93.4412765458172,96.88347877099069,99.88071083934467,78.03617571059432,92.06041046668672
Croatia,17.1,5.94,1.48,69.0,80.48809104775313,78.31634523722227,99.96226986134914,78.94056847545221,84.42681865544418
Haiti,2.4,0.272,13.4,54.9,97.73553912941452,99.09804209136907,99.65265726826212,60.72351421188631,89.30243817523301
Hungary,15.3,6.41,8.07,73.4,82.60002346591575,76.59309232235829,99.79109981198307,84.62532299741603,85.9023846494183
Indonesia,6.77,2.36,29.7,77.1,92.60823653643084,91.44239935469678,99.22927763174211,89.40568475452196,93.17139956934793
India,5.23,1.87,66.5,69.6,94.41511204974773,93.23898218083156,98.2734266732184,79.71576227390182,91.41082079442488
Ireland,49.3,8.59,21.6,42.4,42.70796667839963,68.6001319938403,99.43966873946064,44.57364341085272,63.830352705638326
Iran,13.2,7.67,81.3,61.2,85.06394462043882,71.97330791229743,97.88900835294257,68.86304909560724,80.94732749532152
Iraq,11.9,5.76,79.5,70.4,86.58922914466737,78.97631443865953,97.93576193243557,80.74935400516797,86.0626648802326
Iceland,59.6,9.99,0.394,23.2,30.62302006335797,63.46703820488377,99.99047785430993,19.76744186046512,53.4619944957542
Israel,30.8,8.6,110.0,41.9,64.41393875395988,68.56346703820489,97.14354850213739,43.92764857881137,68.51215071827839
Italy,11.8,6.92,29.6,52.5,86.70655872345418,74.7231795849527,99.23187505282505,57.62273901808786,79.57108809482996
Jamaica,9.95,2.43,12.5,75.6,88.87715593101021,91.18574466524896,99.67603405800863,87.46770025839793,91.80165872816643
Jordan,7.03,2.9,104.0,77.1,92.30317963158512,89.46249175038498,97.29939376711408,89.40568475452196,92.11768747590153
Japan,18.2,9.99,36.0,30.5,79.19746568109821,63.46703820488377,99.06564010351659,29.19896640826874,67.73227759944183
Kazakhstan,34.4,9.66,34.1,39.5,60.190073917634635,64.67698174085209,99.11499110409254,40.826873385012924,66.20223003689804
Kenya,4.62,0.562,33.2,64.7,95.13082248034729,98.03475837794237,99.13836789383903,73.38501291989665,91.42224041800634
Kyrgyz Republic,7.82,2.81,50.0,74.6,91.3762759591693,89.79247635110362,98.7020011519043,86.17571059431525,91.51161601412312
Cambodia,5.7,2.55,1.04,64.0,93.86366302944973,90.74576519762411,99.9736985141141,72.48062015503876,89.26593672405667
South Korea,22.0,13.5,85.2,27.4,74.73894168719934,50.59763877685708,97.78770893070771,25.193798449612405,62.07952196109414
Kuwait,65.3,24.0,3850.0,9.9,23.935234072509687,12.099435359683213,0.0,2.583979328165375,9.654662190089569
Lao,9.64,3.3,4.79,65.8,89.24087762524933,87.99589352496884,99.87629522350367,74.8062015503876,87.97981698102735
Lebanon,12.4,3.92,58.8,69.9,86.00258125073331,85.7226662755738,98.47342809660516,80.10335917312663,87.57550869900973
Liberia,2.71,0.354,0.264,51.7,97.3718174351754,98.79738945515876,99.99385450171775,56.589147286821714,88.18805216971842
Libya,16.1,8.84,817.0,75.7,81.66138683562126,67.68350810295519,78.7797814457173,87.59689922480621,78.93039390227499
Sri Lanka,4.36,1.76,90.8,84.3,95.435879385193,93.642296692821,97.6422533500628,98.70801033591731,96.35710994099853
Lithuania,40.1,7.21,1.83,29.1,53.50228792678634,73.659895871526,99.95317888755883,27.39018087855298,63.62638589110603
Luxembourg,45.5,12.7,3.96,,47.16649067229849,53.53083522768938,99.89785381849211,,50.148794929619996
Latvia,31.0,7.57,1.07,53.5,64.17927959638625,72.33995746865146,99.97291928778921,58.91472868217055,73.85172125874936
Morocco,6.95,2.0,50.8,73.9,92.39704329461458,92.76233775757132,98.68122178324074,85.27131782945737,92.277980166221
Moldova,3.41,1.25,12.6,80.8,96.55051038366773,95.51220943022659,99.67343663692567,94.18604651162791,96.48055074061197
Madagascar,1.51,0.209,11.3,56.8,98.77977238061716,99.32903131187211,99.70720311100396,63.17829457364342,90.24857534428416
Mexico,10.8,3.64,44.8,78.0,87.8798545113223,86.74928503336511,98.83706704821743,90.56847545219638,91.0086705112753
North Macedonia,12.3,3.51,38.7,71.9,86.11991082952012,87.22592945662535,98.99550973427706,82.687338501292,88.75717213042863
Mali,4.57,0.204,8.0,46.7,95.1894872697407,99.34736378968981,99.79291800674113,50.12919896640828,86.11474200814497
Malta,40.7,17.3,81.9,54.2,52.798310454065465,36.66495563540368,97.87342382644489,59.81912144702843,61.78895284073562
Myanmar,2.06,0.549,5.8,62.8,98.13445969728969,98.08242282026839,99.85006127056593,70.93023255813954,91.7492940865659
Mongolia,10.6,14.2,3.4,73.2,88.11451366889594,48.03109188237883,99.9123993765566,84.3669250645995,80.10623249810772
Mozambique,2.19,0.456,1.75,49.1,97.98193124486683,98.42340690767764,99.95525682442519,53.22997416020672,87.3976422842941
Mauritania,7.75,0.661,13.2,58.8,91.45840666432008,97.67177531715187,99.65785211042801,65.7622739018088,88.63757699842718
Malawi,1.71,0.139,17.5,52.1,98.54511322304353,99.58568600131994,99.54616300386138,57.105943152454785,88.6957263451699
Malaysia,19.6,7.5,3.44,46.6,77.55485157808283,72.59661215809929,99.91136040812343,50.000000000000014,75.01570603607638
Namibia,11.9,3.97,0.862,66.9,86.58922914466737,85.53934149739679,99.97832192364174,76.22739018087857,87.08357068664613
Niger,4.19,0.113,11.0,42.4,95.63533966913059,99.68101488597199,99.7149953742528,44.57364341085272,84.90124833505202
Nigeria,3.6,0.692,9.67,58.1,96.32758418397277,97.55811395468211,99.74954107465597,64.85788113695091,89.62328008756543
Nicaragua,5.4,0.944,2.22,71.1,94.21565176581016,96.63415707266994,99.94304894533535,81.65374677002585,93.11165113846033
Netherlands,32.3,8.77,16.8,29.9,62.65399507215769,67.94016279240302,99.564344951442,28.423772609819125,64.64556885645545
Norway,38.8,8.72,2.05,19.7,55.027572451014905,68.12348757058004,99.94746456117636,15.245478036175712,59.58600065473675
Nepal,5.58,0.922,8.31,64.8,94.0044585239939,96.71481997506783,99.784866001384,73.51421188630492,91.00458909668765
New Zealand,30.7,7.51,8.05,43.6,64.53126833274669,72.55994720246389,99.79161929619967,46.12403100775195,70.75171645979056
Oman,8.91,14.9,117.0,63.1,90.09738355039306,45.46454498790056,96.96172902633126,71.31782945736435,75.9603717554973
Pakistan,3.45,1.1,116.0,60.0,96.503578552153,96.06218376475765,96.9877032371607,67.31266149870802,89.21653176319484
Panama,13.5,4.02,0.901,82.1,84.71195588407838,85.35601671921977,99.9773089294194,95.8656330749354,91.47772865191322
Peru,9.43,2.01,7.18,81.8,89.48726974070163,92.72567280193591,99.81421685962128,95.4780361757106,94.37629889449236
Philippines,8.77,1.61,26.3,77.3,90.2616449606946,94.19227102735206,99.31758994856223,89.66408268733849,93.35889715598685
Papua New Guinea,5.23,0.986,0.132,59.8,94.41511204974773,96.48016425900124,99.99728309754724,67.05426356589147,89.48670574304691
Poland,17.9,8.01,30.0,42.6,79.54945441745863,70.7266994206937,99.22148536849328,44.83204134366926,73.58242013757871
North Korea,0.75,1.32,27.7,,99.67147717939693,95.25555474077876,99.281226053401,,73.55206449339417
Portugal,12.3,4.6,12.3,62.4,86.11991082952012,83.22944929236635,99.68122890017452,70.41343669250647,84.86100642864187
Paraguay,18.9,2.0,1.84,75.9,78.37615862959052,92.76233775757132,99.95291914545054,87.85529715762274,89.73667817255878
Palestine,5.88,0.733,50.3,,93.65246978763346,97.40778763657696,98.69420888865547,,72.43861657821647
Qatar,33.7,27.3,431.0,26.0,61.011380969142316,0.0,88.80582682588442,23.385012919896646,43.300555178730846
Romania,16.0,4.36,6.01,71.1,81.77871641440808,84.10940822761604,99.84460668629174,81.65374677002585,86.84661952458544
Russia,9.49,9.97,4.12,68.5,89.41687199342954,63.540368116154575,99.8936979447594,78.29457364341086,82.7863779244386
Rwanda,2.0,0.179,20.2,58.5,98.20485744456177,99.43902617877832,99.47603263462187,65.374677002584,90.62364831513649
Saudi Arabia,30.0,18.4,974.0,45.6,65.35257538425438,32.63181051550929,74.70183034549389,48.70801033591732,55.34855664529372
Sudan,11.3,0.55,119.0,,87.29320661738825,98.07875632470484,96.90978060467235,,70.57043588669136
Senegal,4.09,1.02,16.3,55.2,95.7526692479174,96.35550340984088,99.57733205685672,61.11111111111112,88.19915395643153
Singapore,50.4,25.4,83.1,7.9,41.41734131174469,6.966341570726698,97.84225477344955,0.0,36.556484413980236
Sierra Leone,2.12,0.154,0.496,48.6,98.0640619500176,99.53068856786683,99.98782848480532,52.583979328165384,87.5416395827138
El Salvador,5.87,1.47,2.43,72.4,93.66420274551214,94.7055804062477,99.93759436106117,83.33333333333334,92.91017771153861
Somalia,3.5,0.051,24.5,,96.4449137627596,99.90833761091149,99.36434352805524,,73.92939872543158
Serbia,15.7,5.11,6.0,38.2,82.1307051507685,81.35953655496077,99.84486642840004,39.147286821705436,75.62059873895869
South Sudan,4.78,0.186,4.23,,94.9430951542884,99.41336070983354,99.89084078156816,,73.56182416142252
Slovak Republic,19.1,7.37,2.39,23.0,78.14149947201689,73.07325658135954,99.93863332949435,19.50904392764858,67.66560832762984
Slovenia,25.4,8.46,6.78,42.5,70.74973600844773,69.07677641710053,99.82460654395307,44.702842377260986,71.08849033669058
Sweden,26.7,5.96,3.58,32.5,69.22445148421917,78.24301532595146,99.9077240186073,31.78294573643411,69.78953414130301
Syria,1.91,1.85,124.0,60.7,98.31045406546991,93.31231209210237,96.77990955052512,68.2170542635659,89.15493249291583
Chad,8.26,0.072,4.29,42.8,90.86002581250733,99.83134120407715,99.8892823289184,45.090439276485796,83.91777215549718
Togo,4.14,0.906,3.39,55.5,95.69400445852399,96.77348390408447,99.91265911866489,61.498708010335925,88.46971387290232
Thailand,11.8,3.92,23.0,73.7,86.70655872345418,85.7226662755738,99.40330484429941,85.01291989664084,89.21136243499205
Tajikistan,5.75,1.47,69.9,71.9,93.80499824005632,94.7055804062477,98.18511435639827,82.687338501292,92.34575787599857
Turkmenistan,13.1,15.5,135.0,25.5,85.18127419922563,43.26464764977634,96.49419323140118,22.739018087855303,61.91978329206461
Tunisia,9.17,2.26,98.1,78.6,89.79232664554735,91.80904891105082,97.45264161100783,91.34366925064599,92.59942160456299
Turkey,17.5,4.95,45.7,67.5,80.0187727326059,81.94617584512723,98.81369025847093,77.00258397932818,84.44530570388307
Tanzania,1.58,0.311,13.0,56.9,98.69764167546639,98.955048764391,99.6630469525939,63.30749354005169,90.15580773312574
Uganda,1.92,0.183,5.83,58.6,98.29872110759122,99.42436019652416,99.84928204424104,65.50387596899226,90.76905982933717
Ukraine,11.9,4.35,12.3,75.8,86.58922914466737,84.14607318325145,99.68122890017452,87.72609819121446,89.53565735482695
Uruguay,17.5,3.21,9.79,52.9,80.0187727326059,88.32587812568747,99.74642416935643,58.139534883720934,81.5576524778427
USA,29.6,16.4,28.2,18.1,65.82189369940161,39.96480164259002,99.26823894798628,13.178294573643413,54.55830721590533
Uzbekistan,6.12,2.8,169.0,76.1,93.3708787985451,89.82914130673902,95.61107006319993,88.11369509043928,91.73119631473082
Venezuela,9.6,0.673,7.54,71.2,89.28780945676405,97.62777737038938,99.80486614372269,81.78294573643412,92.12584967682756
Vietnam,8.52,2.17,18.1,72.9,90.55496890766162,92.13903351176945,99.5305784773637,83.97932816537468,91.55097726554236
Yemen,2.89,0.395,170.0,50.6,97.16062419335914,98.6470631370536,95.58509585237049,55.167958656330754,86.64018545977851
South Africa,7.55,5.18,65.0,69.0,91.6930658218937,81.10288186551294,98.31238798946258,78.94056847545221,87.51222603808036
Zambia,2.38,0.424,2.84,62.9,97.75900504517189,98.54073476571094,99.92694493462109,71.05943152454782,91.82152906751293
Zimbabwe,1.21,0.804,35.4,61.5,99.13176111697759,97.14746645156559,99.08122463001425,69.25064599483206,91.15277454834737
Andorra,,5.91,,,,78.42634010412847,,,19.606585026032118
Antigua and Barbuda,,5.94,8.46,62.2,,78.31634523722227,99.78096986975959,70.15503875968993,62.06308846666795
Barbados,,4.52,87.5,71.2,,83.52276893744958,97.72796824579999,81.78294573643412,65.75842072992091
Comoros,,0.287,0.833,,,99.04304465791597,99.9790751757558,,49.75552995841794
Cape Verde,,1.26,8.43,71.1,,95.47554447459119,99.78174909608448,81.65374677002585,69.22776008517538
Dominica,,2.57,10.0,,,90.6724352863533,99.74096958508224,,47.60335121785889
Fiji,,2.6,0.297,78.8,,90.56244041944709,99.99299735276038,91.60206718346254,70.5393762389175
"Micronesia, Fed. Sts.",,1.45,,,,94.77891031751852,,,23.69472757937963
Guinea-Bissau,,0.198,1.5,,,99.36936276307105,99.96175037713256,,49.83277828505091
Grenada,,2.45,7.05,,,91.11241475397814,99.81759350702912,,47.732502065251815
Guyana,,3.15,3.3,,,88.5458678594999,99.91499679763955,,47.11521616428486
"Hong Kong, China",,10.2,,,,62.697074136540294,,,15.674268534135074
Kiribati,,0.65,,,,97.71210676835081,,,24.428026692087702
St. Kitts and Nevis,,4.66,50.8,,,83.00945955855394,98.68122178324074,,45.42267033544867
St. Lucia,,2.34,14.3,,,91.5157292659676,99.62928047851561,,47.786252436120805
Liechtenstein,,3.89,,,,85.83266114248002,,,21.458165285620005
Lesotho,,1.38,2.57,55.5,,95.03556500696634,99.93395797154504,61.498708010335925,64.11705774721183
Maldives,,3.31,15.7,72.2,,87.95922856933343,99.59291658335438,83.07493540051681,67.65677013830116
Marshall Islands,,2.79,,,,89.86580626237442,,,22.466451565593605
Montenegro,,3.17,,,,88.47253794822907,,,22.11813448705727
Mauritius,,4.88,22.1,60.9,,82.20283053457506,99.42668163404592,68.47545219638243,62.52624109125085
Nauru,,5.09,,,,81.43286646623157,,,20.358216616557893
Palau,,14.2,,,,48.03109188237883,,,12.007772970594708
Solomon Islands,,0.295,,,,99.01371269340764,,,24.75342817335191
Sao Tome and Principe,,0.641,1.88,67.3,,97.74510522842267,99.95188017701736,76.74418604651164,68.61029286298792
Suriname,,3.39,3.95,68.9,,87.6659089242502,99.89811356060041,78.81136950904394,66.59384799847365
Eswatini,,1.15,77.6,62.7,,95.87885898658062,97.98511293301152,70.80103359173127,66.16625137783085
Seychelles,,7.38,,35.9,,73.03659162572413,,36.17571059431525,27.303075555009844
Timor-Leste,,0.461,28.3,,,98.40507442985994,99.26564152690334,,49.41767898919082
Tonga,,1.42,,,,94.88890518442473,,,23.722226296106182
Trinidad and Tobago,,17.7,20.3,74.2,,35.19835740998754,99.47343521353892,85.65891472868218,55.082676838052166
Tuvalu,,1.09,,,,96.09884872039305,,,24.024712180098263
Taiwan,,12.5,,,,54.26413434039745,,,13.566033585099362
St. Vincent and the Grenadines,,2.05,7.9,,,92.57901297939429,99.79551542782409,,48.093632101804594
Vanuatu,,0.572,,65.4,,97.99809342230697,,74.28940568475454,43.07187477676538
Samoa,,1.43,,76.7,,94.85224022878933,,88.8888888888889,45.93528227941955
Puerto Rico,,,19.5,,,,99.49421458220247,,24.87355364555062
