country,energy_use_2014,energy_import_2014,energy_alternative_2014,energy_renewable_2020,energy_use_2014_n,energy_import_2014_n,energy_alternative_2014_n,energy_renewable_2020_n,energy_s
UK,2780.0,39.7,11.6,13.5,13.699238,5.1982803,23.387098,14.033264,14.079470157623291
Georgia,1180.0,68.8,15.7,23.4,5.633746,2.6896515,31.653227,24.324326,16.0752375125885
Ghana,320.0,-8.19,5.87,40.3,1.2985442,9.326721,11.834678,41.89189,16.08795863389969
Gibraltar,6040.0,100.0,0.0,0.0,30.132677,0.0,0.0,0.0,7.533169269561768
Gambia,,,,49.7,,,,51.663204,12.915801048278809
Guinea-Bissau,,,,87.2,,,,90.64449,22.661123275756836
Equatorial Guinea,,,,6.97,,,,7.2453227,1.8113306760787964
Greece,2120.0,62.0,5.42,20.1,10.372224,3.2758636,10.92742,20.893972,11.367369890213013
Grenada,,,,10.4,,,,10.810811,2.702702760696411
Guatemala,864.0,32.8,2.57,65.5,4.0408115,5.7930984,5.181452,68.08732,20.775670051574707
Guyana,,,,12.0,,,,12.474013,3.1185033321380615
"Hong Kong, China",1970.0,98.7,0.0705,0.27,9.616083,0.112075806,0.14213711,0.2806653,2.5377403423190117
Honduras,587.0,53.0,3.33,50.1,2.644473,4.0517273,6.71371,52.079002,16.372228145599365
Croatia,1900.0,45.9,11.9,32.4,9.263218,4.6637955,23.991936,33.679836,17.899696350097656
Haiti,399.0,22.0,0.074,76.3,1.6967778,6.7241364,0.14919356,79.313934,21.971010513603687
Hungary,2310.0,55.6,19.0,14.8,11.330001,3.8275833,38.306454,15.384616,17.21216344833374
Indonesia,880.0,-103.0,0.839,22.0,4.121466,17.5,1.6915324,22.869024,11.545505702495575
India,631.0,34.3,2.67,35.8,2.866274,5.663788,5.3830647,37.214138,12.781816184520721
Ireland,2740.0,84.3,4.22,13.7,13.497601,1.3534393,8.508064,14.241165,9.400067329406738
Iran,2960.0,-33.4,0.909,1.03,14.606606,11.5,1.8326614,1.0706861,7.2524882555007935
Iraq,1350.0,-229.0,0.331,1.08,6.4907045,28.362068,0.6673387,1.1226612,9.160693168640137
Iceland,17900.0,11.0,35.4,82.8,89.91814,7.6724167,71.37097,86.07069,63.758052825927734
Israel,2760.0,67.0,5.19,5.61,13.598419,2.8448257,10.46371,5.831601,8.184638977050781
Italy,2410.0,75.0,7.06,18.7,11.834094,2.1551743,14.233871,19.438671,11.915452718734741
