country,infra_vehicles_2007,infra_elec_2021,infra_sanit_2016,infra_water_2016,infra_vehicles_2007_n,infra_elec_2021_n,infra_sanit_2016_n,infra_water_2016_n,infra_s
Trinidad and Tobago,351.0,100.0,93.7,98.5,28.99095233961999,100.0,93.17147192716236,97.64890282131663,79.95283177202475
Tunisia,103.0,99.9,93.2,94.7,8.490086426029487,99.89159891598916,92.62952525471493,91.69278996865204,73.1760001413464
Turkey,131.0,100.0,97.0,96.4,10.804700319499384,100.0,96.7483199653154,94.35736677115987,75.47759676399367
Tanzania,11.7,42.7,25.6,52.3,0.9427918376794343,37.88617886178862,19.35833513982224,25.235109717868333,20.85560388928966
Uganda,6.5,45.2,19.8,49.5,0.5129349717493108,40.59620596205963,13.071753739432038,20.846394984326015,18.75682241439175
Ukraine,140.0,100.0,97.4,93.4,11.548683356686137,100.0,97.18187730327337,89.65517241379311,74.59643326843815
Uruguay,,100.0,96.9,99.3,,100.0,96.63993063082594,98.9028213166144,73.88568798686009
USA,820.0,100.0,99.7,99.5,67.76073505524074,100.0,99.67483199653154,99.21630094043887,91.6629669980528
St. Vincent and the Grenadines,204.0,100.0,89.6,97.7,16.83922939890304,100.0,88.72750921309343,96.39498432601881,75.49043073450382
Venezuela,147.0,100.0,95.1,94.4,12.12733683005361,100.0,94.68892261001517,91.22257053291537,74.50970749324604
Vietnam,13.5,100.0,81.0,93.4,1.0915884451167848,100.0,79.40602644699761,89.65517241379311,67.53819682647688
Samoa,,98.3,95.8,93.3,,98.15718157181571,95.44764795144157,89.49843260188086,70.77581553128454
Yemen,34.8,74.9,52.1,56.8,2.852348299792098,72.79132791327915,48.081508779536094,32.28840125391849,39.003396561631455
South Africa,159.0,89.3,73.1,92.2,13.11931421296928,88.40108401084011,70.8432690223282,87.7742946708464,65.034490479246
Zambia,17.7,46.7,33.2,63.9,1.4387805291372688,42.22222222222223,27.595924561023192,43.41692789968651,28.6684638030173
Zimbabwe,106.0,49.0,37.5,64.5,8.738080771758405,44.71544715447155,32.2566659440711,44.35736677115987,32.51689016036523
Aruba,,100.0,98.6,97.9,,100.0,98.48254931714719,96.70846394984326,73.79775331674762
Andorra,,100.0,100.0,100.0,,100.0,100.0,100.0,75.0
Antigua and Barbuda,,100.0,97.4,98.4,,100.0,97.18187730327337,97.4921630094044,73.66851007816945
Bermuda,,100.0,99.9,99.9,,100.0,99.89161066551053,99.84326018808778,74.93371771339957
Channel Islands,,100.0,,,,100.0,,,25.0
Cote d'Ivoire,,71.1,32.3,72.3,,68.6720867208672,26.620420550617812,56.58307210031347,37.968894842949624
Cameroon,,65.4,41.7,66.5,,62.49322493224933,36.80901799262952,47.492163009404386,36.69860148357081
Cayman Islands,,100.0,83.4,95.7,,100.0,82.00737047474529,93.2601880877743,68.8168896406299
Djibouti,,65.4,62.7,75.8,,62.49322493224933,59.57077823542163,62.068965517241374,46.03324217122808
Dominica,,100.0,80.4,95.4,,100.0,78.7556904400607,92.78996865203762,67.88641477302458
Egypt,,100.0,96.2,98.7,,100.0,95.88120528939952,97.96238244514107,73.46089693363515
Faeroe Islands,,100.0,,100.0,,100.0,,100.0,50.0
Gabon,,91.8,48.9,84.9,,91.11111111111111,44.61305007587253,76.33228840125392,53.01411239705939
Isle of Man,,100.0,100.0,99.1,,100.0,100.0,98.58934169278996,74.64733542319749
Gibraltar,,100.0,100.0,100.0,,100.0,100.0,100.0,75.0
Guinea,,46.8,24.1,64.0,,42.33062330623306,17.732495122479946,43.57366771159874,25.909196535077935
Equatorial Guinea,,66.8,66.2,64.4,,64.01084010840108,63.36440494255365,44.20062695924766,42.893968002550594
Grenada,,93.7,91.5,95.6,,93.17073170731707,90.78690656839366,93.10344827586206,69.26527163789319
Greenland,,100.0,62.5,100.0,,100.0,59.35399956644266,100.0,64.83849989161067
Guam,,100.0,90.0,99.7,,100.0,89.16106655105138,99.52978056426333,72.17271177882867
Haiti,,47.2,33.6,65.0,,42.76422764227643,28.02948189898114,45.141065830721,28.98369384299464
Iraq,,100.0,93.6,95.1,,100.0,93.06308259267287,92.31974921630093,71.34570795224344
Cambodia,,82.5,57.2,72.4,,81.02981029810299,53.609364838499886,56.73981191222572,47.84474676220715
St. Kitts and Nevis,,100.0,95.0,98.6,,100.0,94.58053327552568,97.80564263322883,73.09654397718863
Kosovo,,,,,,,,,0.0
Lebanon,,100.0,95.3,91.5,,100.0,94.90570127899414,86.67711598746082,70.39570431661375
St. Lucia,,100.0,83.1,96.0,,100.0,81.68220247127682,93.73040752351098,68.85315249869694
Liechtenstein,,100.0,100.0,100.0,,100.0,100.0,100.0,75.0
Lesotho,,50.4,42.6,71.7,,46.233062330623305,37.7845220030349,55.642633228840126,34.91505439062458
St. Martin (French part),,100.0,99.8,100.0,,100.0,99.78322133102102,100.0,74.94580533275526
Madagascar,,35.1,11.6,48.9,,29.647696476964768,4.183828311294167,19.905956112852657,13.434370225277897
Marshall Islands,,99.8,82.8,86.4,,99.78319783197831,81.35703446780836,78.68338557993731,64.955904469931
Montenegro,,99.8,96.1,97.6,,99.78319783197831,95.77281595491003,96.23824451410657,72.94856457524872
Northern Mariana Islands,,100.0,79.0,100.0,,100.0,77.2382397572079,100.0,69.30955993930198
Mauritania,,47.7,43.6,67.3,,43.30623306233063,38.86841534792976,48.74608150470219,32.730182478740645
New Caledonia,,100.0,100.0,98.4,,100.0,100.0,97.4921630094044,74.3730407523511
Curaçao,,100.0,99.0,99.5,,100.0,98.91610665510514,99.21630094043887,74.533101898886
Nauru,,100.0,65.9,97.0,,100.0,63.03923693908519,95.29780564263324,64.58426064542961
Palau,,100.0,97.5,99.5,,100.0,97.29026663776284,99.21630094043887,74.12664189455043
North Korea,,52.6,82.4,94.9,,48.61788617886179,80.92347712985043,92.0062695924765,55.38690822529718
French Polynesia,,100.0,97.2,100.0,,100.0,96.96509863429438,100.0,74.24127465857359
Saudi Arabia,,100.0,95.3,98.7,,100.0,94.90570127899414,97.96238244514107,73.2170209310338
Solomon Islands,,76.3,32.8,68.5,,74.3089430894309,27.162367223065242,50.6269592476489,38.02456739003626
San Marino,,100.0,100.0,100.0,,100.0,100.0,100.0,75.0
Somalia,,49.3,35.1,50.3,,45.040650406504064,29.655321916323434,22.100313479623818,24.19907145061283
South Sudan,,7.75,12.0,41.2,,0.0,4.617385649252113,7.836990595611286,3.1135940612158497
Sint Maarten (Dutch part),,100.0,98.8,95.3,,100.0,98.69932798612616,92.63322884012538,72.83313920656289
Turks and Caicos Islands,,100.0,93.1,98.7,,100.0,92.52113592022545,97.96238244514107,72.62087959134163
Thailand,,100.0,97.5,99.2,,100.0,97.29026663776284,98.7460815047022,74.00908703561626
Timor-Leste,,100.0,51.9,76.4,,100.0,47.86473011055712,63.00940438871474,52.718533624817965
Tonga,,100.0,93.7,98.6,,100.0,93.17147192716236,97.80564263322883,72.7442786400978
